time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;2.951;0.0;20.77;19.23;19.26
1;3.007;0.155;20.77;19.23;19.16
2;3.04;0.155;20.77;19.32;19.26
3;3.054;0.155;20.77;19.23;19.26
4;3.069;0.155;20.77;19.42;19.26
5;3.082;0.155;20.77;19.23;19.16
6;3.09;0.155;20.77;19.23;19.26
7;3.098;0.155;20.77;19.23;19.16
8;3.104;0.155;20.77;19.23;19.26
9;3.107;0.155;20.77;19.32;19.26
10;3.111;0.155;20.77;19.32;19.26
11;3.113;0.155;20.77;19.32;19.16
12;3.116;0.155;20.77;19.23;19.26
13;3.118;0.155;20.77;19.23;19.26
14;3.119;0.155;20.77;19.23;19.16
15;3.12;0.155;20.77;19.23;19.26
16;3.122;0.155;20.77;19.32;19.26
17;3.123;0.155;20.77;19.32;19.26
18;3.124;0.155;20.77;19.23;19.16
19;3.125;0.155;20.77;19.23;19.16
20;3.126;0.155;20.77;19.23;19.16
21;3.127;0.155;20.77;19.23;19.26
22;3.128;0.155;20.77;19.32;19.26
23;3.128;0.155;20.77;19.23;19.26
24;3.129;0.155;20.77;19.23;19.16
25;3.129;0.155;20.77;19.32;19.16
26;3.13;0.155;20.77;19.23;19.26
27;3.131;0.155;20.77;19.23;19.26
28;3.132;0.155;20.77;19.23;19.26
29;3.132;0.155;20.77;19.32;19.16
30;3.133;0.155;20.77;19.23;19.16
31;3.134;0.155;20.77;19.23;19.26
32;3.134;0.155;20.77;19.32;19.16
33;3.134;0.155;20.77;19.23;19.16
34;3.134;0.155;20.77;19.23;19.26
35;3.134;0.155;20.77;19.23;19.16
36;3.135;0.155;20.77;19.32;19.26
37;3.136;0.155;20.77;19.23;19.16
38;3.137;0.155;20.77;19.32;19.16
39;3.137;0.155;20.77;19.32;19.16
40;3.138;0.155;20.67;19.23;19.16
41;3.138;0.155;20.77;19.23;19.16
42;3.138;0.155;20.77;19.23;19.16
43;3.138;0.155;20.77;19.23;19.26
44;3.139;0.155;20.77;19.23;19.16
45;3.139;0.155;20.77;19.23;19.16
46;3.14;0.155;20.77;19.32;19.16
47;3.14;0.155;20.67;19.23;19.16
48;3.14;0.155;20.67;19.32;19.16
49;3.14;0.155;20.67;19.23;19.16
50;3.141;0.155;20.67;19.23;19.16
51;3.142;0.155;20.77;19.23;19.16
52;3.142;0.155;20.67;19.23;19.26
53;3.142;0.155;20.67;19.32;19.16
54;3.142;0.155;20.67;19.23;19.16
55;3.143;0.155;20.67;19.13;19.16
56;3.143;0.155;20.67;19.32;19.16
57;3.143;0.155;20.67;19.23;19.06
58;3.143;0.155;20.67;19.23;19.16
59;3.143;0.155;20.77;19.13;19.16
60;3.144;0.155;20.77;19.23;19.16
61;3.145;0.155;20.77;19.23;19.16
62;3.145;0.155;20.77;19.23;19.16
63;3.145;0.155;20.77;19.42;19.16
64;3.145;0.155;20.67;19.23;19.16
65;3.146;0.155;20.77;19.23;19.16
66;3.146;0.155;20.77;19.23;19.16
67;3.146;0.155;20.77;19.32;19.16
68;3.147;0.155;20.67;19.23;19.16
69;3.147;0.156;20.77;19.23;19.16
70;3.148;0.155;20.77;19.23;19.16
71;3.148;0.155;20.77;19.23;19.16
72;3.148;0.155;20.77;19.32;19.06
73;3.148;0.155;20.77;19.13;19.16
74;3.148;0.155;20.77;19.23;19.16
75;3.149;0.155;20.77;19.23;19.16
76;3.149;0.155;20.67;19.23;19.06
77;3.149;0.155;20.77;19.32;19.16
78;3.149;0.155;20.67;19.23;19.16
79;3.15;0.155;20.77;19.23;19.16
80;3.15;0.155;20.77;19.32;19.16
81;3.15;0.155;20.77;19.23;19.06
82;3.15;0.155;20.77;19.23;19.16
83;3.151;0.155;20.77;19.23;19.16
84;3.151;0.155;20.77;19.23;19.06
85;3.151;0.155;20.67;19.23;19.16
86;3.151;0.155;20.77;19.13;19.06
87;3.152;0.155;20.67;19.13;19.16
88;3.152;0.155;20.77;19.23;19.16
89;3.153;0.155;20.77;19.23;19.16
90;3.153;0.155;20.67;19.23;19.16
91;3.152;0.155;20.77;19.23;19.16
92;3.153;0.155;20.77;19.23;19.16
93;3.153;0.155;20.77;19.23;19.16
94;3.154;0.155;20.77;19.23;19.06
95;3.153;0.155;20.77;19.23;19.06
96;3.153;0.155;20.77;19.23;19.06
97;3.154;0.155;20.77;19.23;19.16
98;3.154;0.155;20.67;19.23;19.16
99;3.155;0.155;20.77;19.32;19.06
100;3.155;0.155;20.77;19.23;19.06
101;3.155;0.155;20.77;19.42;19.16
102;3.155;0.155;20.77;19.13;19.06
103;3.155;0.155;20.77;19.23;19.16
104;3.156;0.155;20.67;19.23;19.06
105;3.156;0.155;20.67;19.13;19.06
106;3.156;0.155;20.67;19.23;19.06
107;3.156;0.155;20.67;19.23;19.16
108;3.156;0.155;20.77;19.23;19.06
109;3.157;0.155;20.77;19.23;19.16
110;3.157;0.155;20.77;19.23;19.16
111;3.157;0.155;20.77;19.42;19.16
112;3.157;0.155;20.77;19.13;19.06
113;3.158;0.155;20.77;19.23;19.16
114;3.158;0.155;20.77;19.32;19.16
115;3.157;0.155;20.77;19.13;19.16
116;3.158;0.155;20.77;19.23;19.16
117;3.158;0.155;20.77;19.23;19.06
118;3.158;0.155;20.77;19.23;19.06
119;3.158;0.155;20.77;19.23;19.06
