time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;4.148;0.0;22.39;20.72;20.17
1;4.078;0.743;22.39;20.72;20.27
2;4.058;0.77;22.39;20.62;20.27
3;4.053;0.77;22.39;20.82;20.27
4;4.052;0.77;22.49;20.62;20.27
5;4.051;0.77;22.49;20.72;20.27
6;4.05;0.77;22.39;20.72;20.27
7;4.049;0.77;22.39;20.72;20.17
8;4.048;0.77;22.49;20.72;20.17
9;4.047;0.77;22.39;20.72;20.27
10;4.047;0.77;22.49;20.72;20.27
11;4.046;0.77;22.39;20.72;20.27
12;4.046;0.77;22.39;20.72;20.17
13;4.045;0.77;22.39;20.72;20.27
14;4.045;0.77;22.49;20.62;20.27
15;4.044;0.77;22.49;20.72;20.17
16;4.044;0.77;22.39;20.72;20.17
17;4.043;0.77;22.49;20.72;20.17
18;4.043;0.77;22.49;20.72;20.27
19;4.042;0.77;22.49;20.72;20.27
20;4.042;0.77;22.49;20.72;20.17
21;4.041;0.77;22.49;20.72;20.17
22;4.041;0.77;22.49;20.82;20.27
23;4.04;0.77;22.49;20.82;20.27
24;4.04;0.77;22.49;20.72;20.27
25;4.04;0.77;22.49;20.72;20.17
26;4.039;0.77;22.49;20.72;20.17
27;4.039;0.77;22.49;20.82;20.27
28;4.039;0.77;22.49;20.72;20.27
29;4.038;0.77;22.49;20.72;20.27
30;4.038;0.77;22.39;20.72;20.17
31;4.038;0.77;22.49;20.72;20.17
32;4.037;0.77;22.49;20.92;20.27
33;4.037;0.77;22.49;20.72;20.17
34;4.037;0.77;22.49;20.72;20.27
35;4.036;0.77;22.6;20.82;20.27
36;4.036;0.77;22.49;20.72;20.27
37;4.036;0.77;22.49;20.82;20.27
38;4.036;0.77;22.49;20.82;20.27
39;4.035;0.77;22.49;20.72;20.27
40;4.035;0.77;22.49;20.82;20.27
41;4.035;0.77;22.49;20.72;20.27
42;4.035;0.77;22.49;20.82;20.27
43;4.034;0.77;22.49;20.72;20.27
44;4.034;0.77;22.49;20.72;20.27
45;4.034;0.77;22.49;20.72;20.27
46;4.034;0.77;22.49;20.72;20.27
47;4.033;0.77;22.49;20.72;20.27
48;4.033;0.77;22.49;20.72;20.27
49;4.033;0.77;22.49;20.82;20.27
50;4.033;0.77;22.49;20.82;20.27
51;4.032;0.77;22.49;20.82;20.27
52;4.032;0.77;22.49;20.72;20.17
53;4.032;0.77;22.49;20.82;20.27
54;4.032;0.77;22.49;20.82;20.27
55;4.032;0.77;22.49;20.82;20.37
56;4.038;0.0;22.49;20.92;20.27
57;4.116;0.0;22.49;20.82;20.27
58;4.12;0.0;22.49;20.82;20.17
59;4.121;0.0;22.49;20.72;20.27
60;4.122;0.0;22.49;20.82;20.27
61;4.123;0.0;22.49;20.72;20.27
62;4.124;0.0;22.49;20.72;20.17
63;4.124;0.0;22.49;20.72;20.27
64;4.125;0.0;22.49;20.82;20.27
65;4.125;0.0;22.49;20.72;20.27
66;4.126;0.0;22.49;20.72;20.27
67;4.126;0.0;22.49;20.82;20.27
68;4.126;0.0;22.49;20.72;20.27
69;4.127;0.0;22.49;20.82;20.27
70;4.127;0.0;22.49;20.82;20.27
71;4.127;0.0;22.49;20.82;20.37
72;4.128;0.0;22.49;20.72;20.37
73;4.128;0.0;22.49;20.82;20.27
74;4.128;0.0;22.49;20.82;20.27
75;4.128;0.0;22.49;20.72;20.27
76;4.129;0.0;22.49;20.72;20.27
77;4.129;0.0;22.49;20.72;20.27
78;4.129;0.0;22.49;20.72;20.37
79;4.129;0.0;22.49;20.82;20.27
80;4.129;0.0;22.49;20.82;20.37
81;4.13;0.0;22.49;20.82;20.27
82;4.13;0.0;22.49;20.72;20.27
83;4.13;0.0;22.49;20.82;20.27
84;4.13;0.0;22.49;20.72;20.27
85;4.13;0.0;22.49;20.72;20.37
86;4.13;0.0;22.49;20.82;20.17
87;4.131;0.0;22.49;20.72;20.27
88;4.131;0.0;22.49;20.72;20.27
89;4.131;0.0;22.49;20.82;20.27
90;4.131;0.0;22.49;20.72;20.17
91;4.131;0.0;22.49;21.12;20.27
92;4.131;0.0;22.49;20.82;20.27
93;4.131;0.0;22.49;20.82;20.27
94;4.132;0.0;22.49;20.82;20.27
95;4.132;0.0;22.49;20.72;20.27
96;4.132;0.0;22.49;20.82;20.27
97;4.132;0.0;22.49;20.82;20.27
98;4.132;0.0;22.49;20.82;20.17
99;4.132;0.0;22.49;20.72;20.27
100;4.132;0.0;22.49;20.72;20.27
101;4.132;0.0;22.49;20.82;20.27
102;4.132;0.0;22.49;20.72;20.27
103;4.133;0.0;22.49;20.82;20.27
104;4.133;0.0;22.49;20.82;20.27
105;4.133;0.0;22.49;20.82;20.37
106;4.133;0.0;22.49;20.72;20.27
107;4.133;0.0;22.49;20.82;20.27
108;4.133;0.0;22.49;20.82;20.27
109;4.133;0.0;22.49;20.82;20.37
110;4.133;0.0;22.49;20.82;20.27
111;4.133;0.0;22.49;20.82;20.17
112;4.133;0.0;22.49;20.72;20.27
113;4.133;0.0;22.49;20.82;20.27
114;4.133;0.0;22.49;20.72;20.27
115;4.134;0.0;22.49;20.92;20.27
116;4.134;0.0;22.49;20.82;20.27
117;4.134;0.0;22.49;20.72;20.27
118;4.134;0.0;22.49;20.82;20.27
119;4.134;0.0;22.49;20.82;20.27
120;4.134;0.0;22.49;20.72;20.27
121;4.134;0.0;22.49;20.82;20.27
122;4.134;0.0;22.49;20.72;20.27
123;4.134;0.0;22.49;20.82;20.27
124;4.134;0.0;22.49;20.82;20.37
125;4.134;0.0;22.49;20.72;20.27
126;4.134;0.0;22.49;20.82;20.27
127;4.134;0.0;22.49;20.72;20.27
128;4.134;0.0;22.49;20.72;20.17
129;4.134;0.0;22.49;20.72;20.47
130;4.134;0.0;22.49;20.82;20.17
131;4.135;0.0;22.49;20.82;20.27
132;4.135;0.0;22.49;20.82;20.27
133;4.135;0.0;22.49;20.72;20.27
134;4.135;0.0;22.49;20.72;20.27
135;4.135;0.0;22.49;20.82;20.27
136;4.135;0.0;22.49;20.82;20.27
137;4.135;0.0;22.49;20.72;20.27
138;4.135;0.0;22.49;20.82;20.27
139;4.135;0.0;22.49;20.82;20.17
140;4.135;0.0;22.49;20.82;20.27
141;4.135;0.0;22.49;20.92;20.27
142;4.135;0.0;22.49;20.82;20.27
143;4.135;0.0;22.49;20.72;20.27
144;4.135;0.0;22.49;20.82;20.27
145;4.135;0.0;22.49;20.72;20.27
146;4.135;0.0;22.49;20.72;20.17
147;4.135;0.0;22.49;20.82;20.27
148;4.135;0.0;22.49;20.72;20.27
149;4.135;0.0;22.49;20.82;20.17
150;4.135;0.0;22.49;20.72;20.27
151;4.135;0.0;22.49;20.82;20.27
152;4.136;0.0;22.49;20.62;20.27
153;4.136;0.0;22.49;20.72;20.37
154;4.136;0.0;22.6;20.72;20.27
155;4.136;0.0;22.49;20.82;20.17
156;4.136;0.0;22.49;20.72;20.27
157;4.136;0.0;22.49;20.72;20.17
158;4.136;0.0;22.49;20.72;20.17
159;4.136;0.0;22.49;20.72;20.27
160;4.136;0.0;22.49;20.72;20.27
161;4.136;0.0;22.49;20.72;20.27
162;4.136;0.0;22.49;20.72;20.27
163;4.136;0.0;22.49;20.72;20.27
164;4.136;0.0;22.49;20.72;20.27
165;4.136;0.0;22.49;20.82;20.17
166;4.136;0.0;22.49;20.72;20.27
167;4.136;0.0;22.49;20.72;20.17
168;4.136;0.0;22.49;20.72;20.27
169;4.136;0.0;22.39;20.72;20.17
170;4.136;0.0;22.49;20.82;20.17
171;4.136;0.0;22.39;20.72;20.17
172;4.136;0.0;22.39;20.72;20.17
173;4.136;0.0;22.49;20.62;20.17
174;4.136;0.0;22.39;20.72;20.17
175;4.136;0.0;22.39;20.82;20.27
176;4.136;0.0;22.39;20.82;20.17
177;4.136;0.0;22.39;20.82;20.27
178;4.136;0.0;22.39;20.72;20.17
179;4.136;0.0;22.39;20.72;20.17
180;4.136;0.0;22.39;20.72;20.27
181;4.136;0.0;22.39;20.72;20.27
182;4.136;0.0;22.39;20.72;20.17
183;4.136;0.0;22.39;20.72;20.27
184;4.136;0.0;22.39;20.72;20.17
185;4.136;0.044;22.39;20.72;20.27
186;4.137;0.0;22.39;20.72;20.27
187;4.137;0.0;22.49;20.72;20.17
188;4.137;0.0;22.39;20.72;20.17
189;4.137;0.0;22.39;20.72;20.27
190;4.137;0.0;22.39;20.72;20.17
191;4.137;0.0;22.39;20.72;20.17
192;4.137;0.0;22.39;20.72;20.27
193;4.137;0.0;22.39;20.72;20.27
194;4.137;0.0;22.39;20.72;20.17
195;4.137;0.0;22.39;20.62;20.27
196;4.137;0.0;22.39;20.62;20.27
197;4.137;0.0;22.39;20.72;20.17
198;4.137;0.0;22.39;20.72;20.17
199;4.137;0.0;22.39;20.72;20.17
200;4.137;0.0;22.39;20.72;20.27
201;4.137;0.0;22.39;20.72;20.17
202;4.137;0.0;22.39;20.62;20.17
203;4.137;0.0;22.39;20.72;20.17
204;4.137;0.0;22.39;20.62;20.27
205;4.137;0.0;22.39;20.82;20.27
206;4.137;0.0;22.39;20.72;20.17
207;4.137;0.0;22.39;20.62;20.17
208;4.137;0.0;22.39;20.72;20.17
209;4.137;0.0;22.39;20.72;20.17
210;4.137;0.0;22.39;20.72;20.17
211;4.137;0.0;22.39;20.62;20.17
212;4.137;0.0;22.39;20.62;20.17
213;4.137;0.0;22.39;20.72;20.27
214;4.137;0.0;22.39;20.62;20.17
215;4.137;0.0;22.39;20.62;20.27
216;4.137;0.0;22.39;20.72;20.17
217;4.137;0.0;22.39;20.62;20.27
218;4.137;0.0;22.39;21.02;20.17
219;4.137;0.0;22.29;20.72;20.27
220;4.137;0.0;22.39;20.72;20.17
221;4.137;0.0;22.39;20.62;20.17
