time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;4.177;0.0;22.8;21.52;21.08
1;4.162;0.142;22.8;21.42;21.28
2;4.158;0.153;22.8;21.52;21.28
3;4.156;0.153;22.7;21.52;21.18
4;4.156;0.153;22.7;21.52;21.18
5;4.155;0.153;22.8;21.83;21.28
6;4.155;0.153;22.8;21.52;21.18
7;4.155;0.153;22.7;21.52;21.28
8;4.154;0.153;22.7;21.52;21.18
9;4.154;0.153;22.8;21.52;21.18
10;4.154;0.153;22.7;21.52;21.18
11;4.154;0.153;22.7;21.52;21.18
12;4.154;0.153;22.7;21.52;21.18
13;4.154;0.153;22.7;21.52;21.18
14;4.153;0.153;22.7;21.52;21.28
15;4.153;0.153;22.7;21.42;21.18
16;4.153;0.153;22.8;21.42;21.18
17;4.153;0.153;22.7;21.52;21.18
18;4.153;0.153;22.8;21.52;21.18
19;4.153;0.153;22.7;21.62;21.18
20;4.152;0.153;22.7;21.52;21.18
21;4.152;0.153;22.7;21.52;21.28
22;4.152;0.153;22.7;21.52;21.28
23;4.152;0.153;22.7;21.52;21.18
24;4.152;0.153;22.7;21.62;21.18
25;4.152;0.153;22.7;21.52;21.18
26;4.152;0.153;22.7;21.52;21.18
27;4.151;0.153;22.7;21.52;21.18
28;4.151;0.153;22.7;21.52;21.18
29;4.151;0.153;22.7;21.52;21.28
30;4.151;0.153;22.7;21.52;21.18
31;4.151;0.153;22.7;21.52;21.18
32;4.151;0.153;22.7;21.52;21.18
33;4.151;0.153;22.7;21.52;21.18
34;4.151;0.153;22.7;21.52;20.98
35;4.151;0.153;22.7;21.52;21.18
36;4.15;0.153;22.7;21.52;21.18
37;4.15;0.153;22.7;21.52;21.18
38;4.15;0.153;22.7;21.52;21.18
39;4.15;0.153;22.7;21.42;21.18
40;4.15;0.153;22.7;21.52;21.18
41;4.15;0.153;22.7;21.42;21.08
42;4.15;0.153;22.7;21.42;21.18
43;4.15;0.153;22.7;21.52;21.18
44;4.15;0.153;22.7;21.52;21.18
45;4.15;0.153;22.7;21.52;21.18
46;4.149;0.153;22.8;21.52;21.18
47;4.149;0.153;22.7;21.62;21.18
48;4.149;0.153;22.7;21.52;21.18
49;4.149;0.153;22.7;21.52;21.18
50;4.149;0.153;22.7;21.62;21.18
51;4.149;0.153;22.7;21.52;21.18
52;4.149;0.153;22.7;21.42;21.18
53;4.149;0.153;22.7;21.52;21.18
54;4.149;0.153;22.7;21.52;21.18
55;4.149;0.153;22.7;21.52;21.18
56;4.149;0.153;22.7;21.52;21.18
57;4.148;0.153;22.7;21.42;21.18
58;4.148;0.153;22.7;21.52;21.18
59;4.148;0.153;22.7;21.73;21.18
60;4.148;0.153;22.7;21.52;21.18
61;4.148;0.153;22.7;21.52;21.18
62;4.148;0.153;22.7;21.52;21.18
63;4.148;0.153;22.7;21.62;21.18
64;4.148;0.153;22.7;21.42;21.18
65;4.148;0.153;22.7;21.42;21.18
66;4.148;0.153;22.7;21.52;21.18
67;4.148;0.153;22.7;21.62;21.08
68;4.147;0.153;22.7;21.42;21.08
69;4.147;0.153;22.7;21.42;21.18
70;4.147;0.153;22.7;21.42;21.18
71;4.147;0.153;22.7;21.42;21.18
72;4.147;0.153;22.7;21.52;21.18
73;4.147;0.153;22.7;21.52;21.08
74;4.147;0.153;22.8;21.52;21.18
75;4.147;0.153;22.7;21.52;21.18
76;4.147;0.153;22.7;21.52;21.18
77;4.147;0.153;22.8;21.42;21.18
78;4.147;0.153;22.7;21.52;21.18
79;4.147;0.153;22.7;21.52;21.18
80;4.147;0.153;22.7;21.52;21.18
81;4.146;0.153;22.7;21.42;21.18
82;4.146;0.153;22.7;21.42;21.18
83;4.146;0.153;22.7;21.52;21.18
84;4.146;0.153;22.7;21.42;21.18
85;4.146;0.153;22.7;21.52;21.18
86;4.146;0.153;22.7;21.42;21.08
87;4.146;0.153;22.7;21.62;21.18
88;4.146;0.153;22.7;21.42;21.18
89;4.146;0.153;22.7;21.52;21.18
90;4.146;0.153;22.7;21.42;21.18
91;4.146;0.153;22.7;21.52;21.18
92;4.146;0.153;22.7;21.42;21.08
93;4.146;0.153;22.7;21.52;21.18
94;4.146;0.153;22.7;21.52;21.18
95;4.146;0.153;22.7;21.52;21.18
