time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;4.128;0.0;14.46;12.87;12.66
1;3.954;1.716;14.46;12.87;12.66
2;3.755;2.671;14.46;12.87;12.66
3;3.743;2.671;14.46;12.87;12.56
4;3.738;2.671;14.46;12.87;12.66
5;3.735;2.671;14.46;12.87;12.66
6;3.732;2.671;14.46;12.97;12.66
7;3.73;2.671;14.46;12.97;12.66
8;3.728;2.671;14.46;12.97;12.66
9;3.726;2.671;14.46;12.87;12.76
10;3.725;2.671;14.46;12.87;12.76
11;3.723;2.671;14.46;12.87;12.66
12;3.722;2.671;14.46;12.87;12.66
13;3.721;2.671;14.46;12.87;12.66
14;3.72;2.671;14.46;12.97;12.66
15;3.718;2.671;14.46;12.87;12.66
16;3.717;2.671;14.46;12.97;12.76
17;3.716;2.671;14.46;12.97;12.76
18;3.716;2.671;14.46;12.97;12.66
19;3.715;2.671;14.56;12.97;12.66
20;3.714;2.671;14.46;12.97;12.76
21;3.713;2.671;14.46;12.97;12.76
22;3.712;2.671;14.46;12.97;12.86
23;3.711;2.671;14.46;12.97;12.76
24;3.711;2.671;14.46;12.97;12.76
25;3.71;2.671;14.56;12.97;12.76
26;3.709;2.671;14.46;12.97;12.76
27;3.709;2.671;14.46;13.06;12.76
28;3.708;2.671;14.46;12.87;12.76
29;3.707;2.671;14.46;13.06;12.76
30;3.707;2.671;14.46;13.16;12.76
31;3.706;2.671;14.46;12.97;12.76
32;3.706;2.671;14.46;13.06;12.76
33;3.705;2.671;14.46;13.06;12.86
34;3.705;2.671;14.46;13.16;12.76
35;3.704;2.671;14.46;12.97;12.86
36;3.704;2.671;14.46;13.06;12.86
37;3.703;2.671;14.46;13.06;12.86
38;3.703;2.671;14.46;13.06;12.86
39;3.702;2.671;14.46;13.06;12.86
40;3.702;2.671;14.56;13.06;12.86
41;3.702;2.671;14.46;13.16;12.86
42;3.701;2.671;14.46;13.06;12.86
43;3.701;2.671;14.46;13.06;12.86
44;3.7;2.671;14.46;13.16;12.96
45;3.7;2.671;14.46;13.16;12.96
46;3.7;2.671;14.46;13.16;12.86
47;3.699;2.671;14.56;13.16;12.96
48;3.699;2.671;14.56;13.16;12.96
49;3.699;2.671;14.56;13.16;12.96
50;3.698;2.671;14.46;13.16;12.96
51;3.698;2.671;14.56;13.16;12.96
52;3.698;2.671;14.56;13.35;12.96
53;3.697;2.671;14.56;13.26;12.96
54;3.697;2.671;14.56;13.26;12.96
55;3.697;2.671;14.56;13.26;12.96
56;3.696;2.671;14.56;13.26;12.96
57;3.696;2.671;14.56;13.26;13.06
58;3.696;2.671;14.56;13.16;12.96
59;3.696;2.671;14.56;13.26;13.06
60;3.695;2.672;14.56;13.35;12.96
61;3.695;2.671;14.56;13.35;13.06
62;3.647;3.204;14.56;13.35;13.06
63;3.56;3.95;14.56;13.35;13.06
64;3.557;3.95;14.56;13.35;13.06
65;3.556;3.95;14.56;13.45;13.06
66;3.554;3.95;14.56;13.35;13.06
67;3.553;3.95;14.56;13.35;13.06
68;3.552;3.95;14.56;13.35;13.16
69;3.551;3.95;14.56;13.35;13.16
70;3.55;3.95;14.56;13.45;13.16
71;3.549;3.95;14.56;13.45;13.16
72;3.549;3.95;14.56;13.45;13.26
73;3.548;3.95;14.56;13.45;13.16
74;3.548;3.95;14.66;13.45;13.16
75;3.547;3.95;14.56;13.45;13.26
76;3.546;3.95;14.56;13.45;13.16
77;3.546;3.95;14.56;13.55;13.26
78;3.545;3.95;14.56;13.55;13.26
79;3.545;3.95;14.56;13.55;13.26
80;3.545;3.95;14.56;13.55;13.26
81;3.544;3.95;14.56;13.64;13.36
82;3.544;3.95;14.56;13.64;13.36
83;3.544;3.95;14.56;13.64;13.36
84;3.543;3.95;14.56;13.64;13.36
85;3.543;3.95;14.56;13.64;13.36
86;3.543;3.95;14.56;13.64;13.36
87;3.542;3.95;14.56;13.74;13.46
88;3.542;3.95;14.56;13.74;13.46
89;3.542;3.95;14.56;13.74;13.46
90;3.542;3.95;14.56;13.74;13.46
91;3.541;3.95;14.56;13.84;13.46
92;3.541;3.95;14.56;13.84;13.56
93;3.541;3.95;14.56;13.84;13.56
94;3.541;3.95;14.56;13.84;13.56
95;3.541;3.95;14.56;13.84;13.56
96;3.541;3.95;14.56;13.74;13.56
97;3.54;3.95;14.56;13.94;13.66
98;3.54;3.95;14.56;13.94;13.66
99;3.54;3.95;14.56;13.94;13.66
100;3.54;3.95;14.56;13.94;13.66
101;3.54;3.95;14.56;13.94;13.66
102;3.54;3.95;14.56;13.94;13.66
103;3.54;3.95;14.56;14.03;13.66
104;3.54;3.95;14.56;13.94;13.76
105;3.54;3.95;14.56;14.13;13.76
106;3.54;3.95;14.56;14.03;13.76
107;3.54;3.95;14.66;14.13;13.86
108;3.54;3.95;14.56;14.13;13.76
109;3.54;3.95;14.56;14.13;13.76
110;3.54;3.95;14.56;14.13;13.86
111;3.54;3.95;14.56;14.13;13.86
112;3.54;3.95;14.56;14.23;13.86
113;3.54;3.95;14.56;14.23;13.96
114;3.54;3.95;14.66;14.32;13.96
115;3.54;3.95;14.56;14.32;13.96
116;3.54;3.95;14.66;14.32;13.96
117;3.54;3.95;14.66;14.32;13.96
118;3.54;3.95;14.66;14.32;14.06
119;3.578;3.503;14.66;14.42;14.06
120;3.681;2.508;14.66;14.32;14.06
121;3.685;2.508;14.66;14.42;14.06
122;3.687;2.508;14.66;14.42;14.16
123;3.688;2.508;14.66;14.42;14.16
124;3.69;2.508;14.66;14.52;14.16
125;3.691;2.508;14.66;14.52;14.16
126;3.692;2.508;14.66;14.52;14.26
127;3.693;2.508;14.66;14.52;14.16
128;3.694;2.508;14.66;14.62;14.26
129;3.694;2.508;14.66;14.62;14.26
130;3.695;2.508;14.66;14.62;14.26
131;3.696;2.508;14.66;14.62;14.26
132;3.696;2.508;14.66;14.81;14.36
133;3.697;2.508;14.66;14.71;14.56
134;3.698;2.508;14.66;14.71;14.36
135;3.698;2.508;14.66;14.71;14.36
136;3.699;2.508;14.66;14.71;14.36
137;3.699;2.508;14.66;14.71;14.36
138;3.699;2.508;14.66;14.81;14.36
139;3.7;2.508;14.66;14.81;14.46
140;3.7;2.508;14.66;14.81;14.46
141;3.701;2.508;14.66;14.81;14.46
142;3.701;2.508;14.66;14.81;14.46
143;3.701;2.508;14.66;14.81;14.46
144;3.702;2.508;14.66;14.81;14.46
145;3.702;2.508;14.66;14.91;14.56
146;3.702;2.508;14.66;15.01;14.56
147;3.703;2.508;14.66;14.91;14.56
148;3.703;2.508;14.76;14.91;14.56
149;3.703;2.508;14.66;15.01;14.56
150;3.703;2.508;14.66;15.1;14.56
151;3.704;2.508;14.66;15.01;14.66
152;3.704;2.508;14.66;15.01;14.66
153;3.704;2.508;14.66;15.01;14.76
154;3.704;2.508;14.66;15.1;14.66
155;3.704;2.508;14.66;15.1;14.66
156;3.704;2.508;14.66;15.01;14.66
157;3.705;2.508;14.66;15.1;14.66
158;3.705;2.508;14.66;15.1;14.76
159;3.705;2.508;14.66;15.2;14.66
160;3.705;2.508;14.66;15.1;14.76
161;3.705;2.508;14.66;15.1;14.76
162;3.705;2.508;14.66;15.1;14.76
163;3.706;2.508;14.66;15.2;14.76
164;3.706;2.508;14.66;15.2;14.76
165;3.706;2.508;14.66;15.2;14.76
166;3.706;2.508;14.66;15.2;14.86
167;3.706;2.508;14.66;15.2;14.86
168;3.706;2.508;14.66;15.2;14.86
169;3.706;2.508;14.66;15.3;14.86
170;3.706;2.508;14.66;15.69;14.86
171;3.707;2.508;14.66;15.3;14.96
172;3.707;2.508;14.66;15.3;14.86
173;3.707;2.508;14.66;15.3;14.96
174;3.707;2.508;14.66;15.3;15.06
175;3.707;2.508;14.66;15.39;14.96
176;3.707;2.508;14.66;15.3;14.96
177;3.707;2.508;14.66;15.39;14.96
178;3.707;2.508;14.66;15.39;14.96
179;3.707;2.508;14.66;15.39;14.96
180;3.707;2.508;14.76;15.39;14.96
181;3.722;2.343;14.66;15.3;15.06
182;3.747;2.1;14.66;15.39;15.06
183;3.748;2.1;14.66;15.39;15.06
184;3.749;2.1;14.66;15.39;15.06
185;3.75;2.1;14.66;15.49;15.06
186;3.75;2.1;14.66;15.49;15.06
187;3.75;2.1;14.66;15.49;15.06
188;3.751;2.1;14.66;15.59;15.16
189;3.751;2.1;14.66;15.49;15.16
190;3.751;2.1;14.66;15.49;15.16
191;3.752;2.1;14.66;15.49;15.16
192;3.752;2.1;14.66;15.49;15.16
193;3.752;2.1;14.66;15.59;15.16
194;3.752;2.1;14.66;15.59;15.16
195;3.753;2.1;14.66;15.59;15.26
