time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;3.014;0.0;20.47;19.67;19.72
1;3.091;0.154;20.57;19.67;19.72
2;3.101;0.154;20.47;19.77;19.72
3;3.105;0.155;20.37;19.67;19.72
4;3.107;0.155;20.47;19.77;19.72
5;3.108;0.155;20.47;19.77;19.72
6;3.109;0.154;20.47;19.77;19.72
7;3.111;0.155;20.47;19.67;19.72
8;3.111;0.155;20.47;19.67;19.72
9;3.112;0.155;20.47;19.67;19.82
10;3.112;0.154;20.47;19.57;19.72
11;3.113;0.155;20.47;19.77;19.82
12;3.113;0.155;20.47;19.67;19.82
13;3.114;0.155;20.47;19.67;19.82
14;3.114;0.155;20.47;19.77;19.82
15;3.115;0.155;20.47;19.67;19.72
16;3.115;0.155;20.57;19.67;20.02
17;3.115;0.154;20.47;19.67;19.72
18;3.116;0.155;20.57;19.77;19.82
19;3.116;0.155;20.47;19.67;19.72
20;3.116;0.155;20.47;19.77;19.62
21;3.117;0.155;20.47;19.67;19.72
22;3.117;0.155;20.47;19.67;19.72
23;3.117;0.154;20.47;19.67;19.72
24;3.117;0.154;20.47;19.67;19.72
25;3.118;0.154;20.47;19.87;19.82
26;3.118;0.155;20.47;19.77;19.72
27;3.118;0.154;20.47;19.77;19.72
28;3.119;0.155;20.47;19.67;19.72
29;3.119;0.155;20.47;19.77;19.72
30;3.12;0.154;20.47;19.67;19.72
31;3.12;0.155;20.47;19.67;19.72
32;3.12;0.155;20.47;19.87;19.82
33;3.12;0.155;20.47;19.26;19.82
34;3.12;0.155;20.57;19.77;19.72
35;3.12;0.155;20.47;19.77;19.62
36;3.121;0.155;20.47;19.77;19.72
37;3.121;0.155;20.47;19.77;19.72
38;3.121;0.155;20.47;19.67;19.92
39;3.122;0.155;20.57;19.67;19.82
40;3.122;0.154;20.47;19.87;19.82
41;3.122;0.154;20.47;19.67;19.72
42;3.123;0.155;20.47;19.57;19.82
43;3.123;0.155;20.37;19.77;19.82
44;3.123;0.154;20.47;19.67;19.82
45;3.122;0.155;20.47;19.77;19.82
46;3.123;0.155;20.37;19.47;19.82
47;3.123;0.154;20.37;19.87;19.82
48;3.124;0.155;20.37;19.77;19.62
49;3.124;0.155;20.37;19.67;19.72
50;3.124;0.155;20.37;19.67;19.82
51;3.125;0.154;20.37;19.67;19.92
52;3.125;0.155;20.37;19.67;19.52
53;3.125;0.155;20.37;19.77;19.82
54;3.125;0.155;20.37;19.77;19.82
