time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.002;0.0;20.27;20.27;20.62
1;4.132;0.291;20.17;20.27;20.72
2;4.122;0.307;20.17;20.17;20.72
3;4.124;0.307;20.17;20.27;20.72
4;4.126;0.307;20.17;20.37;20.72
5;4.127;0.307;20.17;20.27;20.62
6;4.128;0.307;20.17;20.07;20.72
7;4.128;0.307;20.17;20.17;20.72
8;4.128;0.307;20.27;20.47;20.62
9;4.129;0.307;20.17;20.27;20.72
10;4.128;0.307;20.17;20.17;20.62
11;4.128;0.307;20.27;20.27;20.62
12;4.127;0.307;20.27;20.37;20.72
13;4.126;0.307;20.27;20.27;20.72
14;4.125;0.307;20.27;20.17;20.62
15;4.124;0.307;20.27;20.17;20.92
16;4.124;0.307;20.27;20.27;20.62
17;4.125;0.307;20.27;20.27;20.72
18;4.125;0.307;20.27;20.27;20.52
19;4.124;0.307;20.17;20.17;20.62
20;4.124;0.307;20.17;20.17;20.62
21;4.125;0.307;20.27;20.17;20.72
22;4.125;0.307;20.27;20.17;20.62
23;4.125;0.307;20.27;20.27;20.52
24;4.126;0.307;20.27;20.27;20.62
25;4.126;0.307;20.27;20.17;20.62
26;4.126;0.307;20.27;20.17;20.62
27;4.127;0.307;20.27;20.27;20.72
28;4.127;0.307;20.27;20.17;20.62
29;4.128;0.307;20.27;20.17;20.72
30;4.128;0.307;20.27;20.27;20.62
31;4.128;0.307;20.27;20.37;20.82
32;4.128;0.307;20.27;20.17;20.72
33;4.128;0.307;20.27;20.27;20.72
34;4.128;0.307;20.27;20.07;20.62
35;4.128;0.307;20.27;20.37;20.62
36;4.128;0.307;20.27;20.27;20.62
37;4.128;0.307;20.27;20.27;20.62
38;4.128;0.307;20.27;20.27;20.72
39;4.128;0.307;20.27;20.17;20.72
40;4.128;0.307;20.27;20.17;20.62
41;4.129;0.307;20.27;20.27;20.72
42;4.129;0.307;20.27;20.27;20.62
43;4.129;0.307;20.27;20.27;20.62
44;4.129;0.307;20.27;20.27;20.72
45;4.129;0.307;20.27;20.17;20.82
46;4.13;0.307;20.37;20.37;20.72
47;4.13;0.307;20.27;20.17;20.72
48;4.13;0.307;20.27;20.27;20.72
49;4.13;0.307;20.27;20.27;20.62
50;4.13;0.307;20.27;20.27;20.62
51;4.13;0.307;20.17;20.27;20.62
52;4.129;0.307;20.27;20.57;20.62
53;4.13;0.307;20.27;20.27;20.62
54;4.13;0.307;20.27;20.17;20.62
55;4.13;0.307;20.27;20.27;20.72
56;4.13;0.307;20.27;20.17;20.62
57;4.13;0.307;20.17;20.37;20.62
58;4.13;0.307;20.27;20.47;20.72
59;4.13;0.307;20.17;20.17;20.62
60;4.13;0.307;20.27;20.17;20.62
61;4.13;0.307;20.27;20.17;20.72
62;4.129;0.307;20.27;20.27;20.72
63;4.129;0.307;20.27;20.17;20.72
64;4.129;0.307;20.27;20.27;20.62
65;4.129;0.307;20.27;20.17;20.52
66;4.129;0.307;20.27;20.17;20.72
67;4.129;0.307;20.17;20.17;20.72
68;4.129;0.307;20.27;20.17;20.42
69;4.129;0.307;20.27;20.27;20.62
70;4.129;0.307;20.27;20.27;20.62
71;4.129;0.307;20.27;20.37;20.62
72;4.129;0.307;20.27;20.17;20.62
73;4.129;0.307;20.27;20.27;20.62
74;4.129;0.307;20.27;20.17;20.72
75;4.129;0.307;20.27;20.27;20.62
76;4.128;0.307;20.27;20.17;20.72
77;4.128;0.307;20.37;20.27;20.72
78;4.128;0.307;20.27;20.17;20.62
79;4.128;0.307;20.27;20.07;20.62
80;4.128;0.307;20.27;19.97;20.72
81;4.128;0.307;20.27;20.37;20.72
82;4.128;0.307;20.27;20.27;20.62
83;4.128;0.307;20.27;20.17;20.62
84;4.128;0.307;20.27;20.17;20.82
85;4.128;0.307;20.27;20.17;20.72
86;4.128;0.307;20.27;20.27;20.72
87;4.127;0.307;20.27;20.27;20.52
88;4.127;0.307;20.27;20.27;20.62
89;4.127;0.307;20.27;20.17;20.62
90;4.127;0.307;20.27;20.17;20.62
91;4.127;0.307;20.27;20.27;20.72
92;4.127;0.307;20.27;20.17;20.62
93;4.127;0.307;20.37;20.17;20.62
94;4.127;0.307;20.37;20.17;20.62
95;4.127;0.307;20.27;20.27;20.62
96;4.127;0.307;20.37;20.37;21.12
97;4.127;0.307;20.37;20.17;20.72
98;4.127;0.307;20.27;20.27;20.62
99;4.126;0.307;20.37;20.17;20.62
100;4.126;0.307;20.37;20.17;20.62
101;4.126;0.307;20.37;20.17;20.72
102;4.126;0.307;20.47;20.27;20.62
103;4.126;0.307;20.37;20.07;20.62
104;4.126;0.307;20.47;20.17;20.72
105;4.126;0.307;20.37;20.17;20.62
106;4.126;0.307;20.37;20.07;20.62
107;4.126;0.307;20.37;20.17;20.82
108;4.126;0.307;20.37;20.27;20.72
109;4.126;0.307;20.37;20.17;20.72
110;4.125;0.307;20.47;20.17;20.62
111;4.125;0.307;20.37;20.17;20.72
112;4.125;0.307;20.37;20.07;20.72
113;4.125;0.307;20.37;20.17;20.72
114;4.125;0.307;20.37;20.27;20.62
115;4.125;0.307;20.37;20.17;20.62
116;4.125;0.307;20.37;20.17;20.82
117;4.125;0.307;20.37;20.27;20.72
118;4.125;0.307;20.37;20.37;20.62
119;4.125;0.307;20.37;19.87;20.42
120;4.125;0.307;20.27;20.17;20.72
121;4.125;0.307;20.37;20.17;20.62
122;4.124;0.307;20.27;20.17;20.72
123;4.124;0.307;20.27;20.17;20.62
124;4.124;0.307;20.27;20.07;20.52
125;4.124;0.307;20.27;20.17;20.72
126;4.124;0.307;20.27;20.27;20.62
127;4.124;0.307;20.27;20.17;20.72
128;4.124;0.307;20.27;20.17;20.72
129;4.124;0.307;20.27;20.17;20.32
130;4.124;0.307;20.27;20.07;20.62
131;4.124;0.307;20.27;20.27;20.62
132;4.124;0.307;20.27;20.17;20.82
133;4.124;0.307;20.27;20.07;20.72
134;4.124;0.307;20.37;20.17;20.72
135;4.123;0.307;20.27;20.27;20.62
136;4.123;0.307;20.27;20.17;20.62
137;4.123;0.307;20.27;20.17;20.52
138;4.123;0.307;20.27;20.17;20.72
139;4.123;0.307;20.27;20.27;20.62
140;4.123;0.307;20.27;20.17;20.62
141;4.123;0.307;20.27;20.17;20.62
142;4.123;0.307;20.27;20.27;20.72
143;4.123;0.307;20.27;20.07;20.92
144;4.123;0.307;20.57;20.17;20.72
145;4.123;0.307;20.27;20.17;20.72
146;4.123;0.307;20.37;20.17;20.72
147;4.123;0.307;20.27;20.17;20.62
148;4.122;0.307;20.27;20.27;20.72
149;4.122;0.307;20.27;20.17;20.62
150;4.122;0.307;20.27;20.17;20.72
151;4.122;0.307;20.27;20.17;20.62
152;4.122;0.307;20.27;20.17;20.72
153;4.122;0.307;20.27;20.07;20.72
154;4.122;0.307;20.17;20.17;20.62
155;4.122;0.307;20.27;20.17;20.72
156;4.122;0.307;20.27;20.27;20.72
157;4.122;0.307;20.27;20.17;20.72
158;4.122;0.307;20.27;20.37;20.62
159;4.122;0.307;20.27;20.17;20.82
160;4.122;0.307;20.27;20.07;20.72
161;4.122;0.307;20.27;20.27;20.72
162;4.122;0.307;20.27;20.27;20.42
163;4.122;0.307;20.27;20.27;20.72
164;4.121;0.307;20.27;20.27;20.92
165;4.121;0.307;20.17;20.17;20.72
166;4.121;0.307;20.27;20.17;20.72
167;4.121;0.307;20.27;20.17;20.62
168;4.121;0.307;20.27;20.37;20.82
169;4.121;0.307;20.27;20.17;20.62
170;4.121;0.307;20.17;20.17;20.72
171;4.121;0.307;20.27;20.17;20.72
172;4.121;0.307;20.27;20.17;20.72
173;4.121;0.307;20.17;20.17;20.72
174;4.121;0.307;20.17;20.17;20.62
175;4.121;0.307;20.27;20.17;20.72
176;4.121;0.307;20.27;20.17;20.72
177;4.12;0.307;20.27;20.07;20.62
178;4.12;0.307;20.27;20.27;20.72
179;4.12;0.307;20.17;20.17;20.72
180;4.12;0.307;20.27;20.17;20.62
181;4.12;0.307;20.27;20.17;20.72
182;4.12;0.307;20.17;20.27;20.72
183;4.12;0.307;20.17;20.67;20.82
184;4.12;0.307;20.27;20.17;20.72
185;4.12;0.307;20.17;20.17;20.62
