time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.002;0.0;20.17;20.47;20.52
1;4.056;0.749;20.17;20.27;20.62
2;4.047;0.77;20.17;20.37;20.72
3;4.049;0.77;20.17;20.37;20.62
4;4.052;0.77;20.17;20.47;20.62
5;4.052;0.77;20.17;20.37;20.62
6;4.052;0.77;20.27;20.37;20.62
7;4.053;0.77;20.17;20.37;20.62
8;4.054;0.77;20.17;20.37;20.72
9;4.055;0.77;20.17;20.37;20.62
10;4.055;0.77;20.17;20.37;20.52
11;4.055;0.77;20.17;20.37;20.62
12;4.055;0.77;20.17;20.67;20.72
13;4.055;0.77;20.17;20.17;20.62
14;4.055;0.77;20.17;20.37;20.72
15;4.055;0.77;20.37;20.27;20.72
16;4.056;0.77;20.27;20.27;20.92
17;4.056;0.77;20.17;20.37;20.62
18;4.056;0.77;20.17;20.37;20.82
19;4.056;0.77;20.17;20.27;20.82
20;4.056;0.77;20.17;20.37;20.62
21;4.056;0.77;20.17;20.57;20.62
22;4.056;0.77;20.17;20.37;20.62
23;4.057;0.77;20.07;20.37;20.62
24;4.057;0.77;20.17;20.37;20.62
25;4.056;0.77;20.17;20.67;20.62
26;4.057;0.77;20.17;20.37;20.62
27;4.057;0.77;20.17;20.37;20.62
28;4.057;0.77;20.17;20.37;20.82
29;4.056;0.77;20.17;20.27;20.62
30;4.056;0.77;20.17;20.37;20.62
31;4.056;0.77;20.17;19.97;20.62
32;4.056;0.77;20.17;20.37;20.62
33;4.056;0.77;20.07;21.38;20.62
34;4.056;0.77;20.17;20.37;20.62
35;4.055;0.77;20.17;20.37;20.62
36;4.055;0.77;20.17;20.27;20.72
37;4.055;0.77;20.07;20.37;20.62
38;4.055;0.77;20.07;20.37;20.62
39;4.055;0.77;20.17;20.37;20.62
40;4.055;0.77;20.07;20.47;20.62
41;4.055;0.77;20.17;20.37;20.62
42;4.055;0.77;20.27;20.47;20.62
43;4.055;0.77;20.17;20.37;20.62
44;4.055;0.77;20.07;20.37;20.62
45;4.055;0.77;20.17;20.37;20.62
46;4.054;0.77;20.17;20.37;20.72
47;4.054;0.77;20.17;20.37;20.62
48;4.054;0.77;20.17;20.37;20.62
49;4.054;0.77;20.07;20.37;20.62
50;4.054;0.77;20.07;20.47;20.72
51;4.054;0.77;20.07;20.47;20.62
52;4.053;0.77;20.17;20.47;20.62
53;4.053;0.77;20.17;20.27;20.72
54;4.053;0.77;20.07;20.37;20.82
55;4.053;0.77;20.07;20.27;20.62
56;4.053;0.77;20.07;20.37;21.22
57;4.052;0.77;20.07;20.27;20.62
58;4.052;0.77;20.07;20.37;20.62
59;4.052;0.77;20.07;20.37;20.62
60;4.052;0.77;20.07;20.37;20.72
61;4.052;0.77;20.07;20.37;20.62
62;4.051;0.77;20.07;20.37;20.62
63;4.051;0.77;20.17;20.37;20.72
64;4.051;0.77;20.07;20.37;20.72
65;4.051;0.77;20.07;20.17;20.62
66;4.051;0.77;20.07;20.47;20.72
67;4.05;0.77;20.07;20.37;20.72
68;4.05;0.77;20.07;20.37;20.72
69;4.05;0.77;20.07;20.37;20.62
70;4.05;0.77;20.07;20.37;20.82
71;4.05;0.77;20.07;20.37;20.72
72;4.049;0.77;20.07;20.37;20.72
73;4.049;0.77;20.07;20.47;20.72
74;4.049;0.77;20.07;20.17;20.72
75;4.049;0.77;20.07;20.37;20.62
76;4.049;0.77;20.07;20.27;20.62
77;4.049;0.77;20.07;20.37;20.62
78;4.048;0.77;20.07;20.27;20.62
79;4.048;0.77;20.07;20.27;20.62
80;4.048;0.77;20.17;20.27;20.62
81;4.048;0.77;20.07;20.57;20.82
82;4.048;0.77;20.17;20.37;20.72
83;4.047;0.77;20.17;20.37;20.72
84;4.047;0.77;20.07;20.37;20.62
85;4.047;0.77;20.17;20.37;20.82
86;4.047;0.77;20.17;20.47;20.62
87;4.047;0.77;20.07;20.37;20.62
88;4.047;0.77;20.07;20.37;20.62
89;4.046;0.77;20.07;20.17;20.72
90;4.046;0.77;20.17;20.27;20.62
91;4.046;0.77;20.17;20.07;20.72
92;4.046;0.77;20.07;20.27;20.32
93;4.045;0.77;20.07;20.37;20.72
94;4.045;0.77;20.17;20.37;20.72
95;4.045;0.77;20.17;20.27;20.72
96;4.045;0.77;20.17;20.37;20.72
97;4.045;0.77;20.07;20.37;20.72
98;4.045;0.77;20.17;20.17;20.72
99;4.044;0.77;20.17;20.37;20.72
100;4.044;0.77;20.17;20.27;20.62
101;4.044;0.77;20.17;20.27;20.52
102;4.044;0.77;20.07;20.37;20.62
103;4.044;0.77;20.17;20.07;20.62
104;4.044;0.77;20.27;20.47;20.72
105;4.043;0.77;20.17;20.37;20.82
106;4.043;0.77;20.17;20.47;20.72
107;4.043;0.77;20.07;20.17;20.62
108;4.043;0.77;20.17;20.27;20.62
109;4.042;0.77;20.17;20.17;20.72
110;4.042;0.77;20.07;20.27;20.62
111;4.042;0.77;20.27;20.27;20.62
112;4.042;0.77;19.87;20.37;20.72
113;4.042;0.77;20.17;20.37;20.62
114;4.042;0.77;20.17;20.37;20.72
115;4.041;0.77;20.17;20.27;20.62
116;4.041;0.77;20.07;20.37;20.62
117;4.041;0.77;20.07;20.27;20.72
118;4.041;0.77;20.17;20.37;20.72
119;4.041;0.77;20.17;20.27;20.72
120;4.041;0.77;20.17;20.37;20.82
121;4.041;0.77;20.17;20.47;20.72
122;4.04;0.77;20.17;20.27;20.72
123;4.04;0.77;20.17;20.27;20.82
124;4.04;0.77;20.07;20.27;20.72
125;4.04;0.77;20.17;20.37;20.82
126;4.04;0.77;20.07;20.37;20.72
127;4.04;0.77;20.07;20.47;20.62
128;4.04;0.77;20.07;20.27;20.72
129;4.04;0.77;20.07;20.17;20.72
130;4.039;0.77;20.07;20.27;20.72
131;4.039;0.77;20.07;20.37;20.72
132;4.039;0.77;20.17;20.37;20.92
133;4.039;0.77;20.07;20.37;20.72
134;4.039;0.77;20.07;20.27;20.72
135;4.038;0.77;20.17;20.27;20.72
136;4.038;0.77;20.07;20.47;20.72
137;4.038;0.77;20.07;20.67;20.72
138;4.038;0.77;20.17;20.37;20.92
139;4.038;0.77;20.17;20.37;20.92
140;4.038;0.77;20.17;20.37;20.62
141;4.037;0.77;20.07;20.17;20.62
142;4.037;0.77;20.17;20.27;20.72
143;4.037;0.77;20.07;20.37;20.62
144;4.037;0.77;20.17;20.27;20.72
145;4.037;0.77;20.17;20.37;20.72
146;4.037;0.77;20.17;20.37;20.72
147;4.037;0.77;20.17;19.97;20.72
148;4.037;0.77;20.17;20.37;20.72
149;4.037;0.77;20.17;20.27;20.72
150;4.036;0.77;20.17;20.37;20.72
151;4.036;0.77;20.07;20.37;20.72
152;4.036;0.77;20.17;20.37;20.72
153;4.036;0.77;20.17;20.27;20.72
154;4.036;0.77;20.17;20.27;20.72
155;4.036;0.77;20.17;20.47;20.62
156;4.036;0.77;20.17;20.37;20.72
157;4.035;0.77;20.07;20.57;20.72
158;4.035;0.77;20.17;19.77;20.72
159;4.035;0.77;20.27;20.27;20.92
160;4.035;0.77;20.17;20.37;20.72
161;4.035;0.77;20.17;20.37;20.82
162;4.035;0.77;20.17;20.27;20.72
163;4.034;0.77;20.17;20.37;20.62
164;4.034;0.77;20.17;20.37;20.72
165;4.034;0.77;20.07;20.27;20.62
166;4.034;0.77;20.17;20.27;20.72
167;4.034;0.77;20.07;20.27;20.52
168;4.034;0.77;20.37;20.47;20.72
169;4.034;0.77;20.17;19.97;20.72
170;4.034;0.77;20.07;20.27;20.72
171;4.034;0.77;20.17;20.37;20.72
172;4.034;0.77;20.17;20.27;20.72
173;4.034;0.77;20.17;20.27;20.72
174;4.034;0.77;20.17;20.37;20.72
175;4.033;0.77;20.17;20.27;20.72
176;4.033;0.77;20.07;20.47;20.82
177;4.033;0.77;20.17;19.97;20.82
178;4.033;0.77;20.17;20.37;20.72
179;4.033;0.77;20.17;20.27;20.72
180;4.033;0.77;20.17;20.37;20.52
181;4.033;0.77;20.17;20.27;20.72
182;4.033;0.77;20.17;20.27;20.72
183;4.032;0.77;20.17;19.97;20.72
184;4.032;0.77;20.17;20.47;20.82
185;4.032;0.77;20.17;20.27;20.72
186;4.032;0.77;20.17;20.37;20.72
187;4.032;0.77;20.17;20.37;20.62
188;4.032;0.77;20.17;20.37;20.62
189;4.032;0.77;20.07;20.37;20.82
190;4.032;0.77;20.17;20.27;20.82
