time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.002;0.0;20.67;21.08;21.52
1;3.707;3.677;20.67;21.18;21.52
2;3.645;3.948;20.77;21.08;21.52
3;3.64;3.948;20.67;21.08;21.52
4;3.636;3.948;20.67;21.18;21.42
5;3.632;3.948;20.67;21.18;21.42
6;3.624;3.948;20.67;21.28;21.52
7;3.618;3.949;20.67;21.18;21.52
8;3.617;3.948;20.77;21.18;21.52
9;3.616;3.949;20.67;20.98;21.52
10;3.616;3.948;20.67;21.18;21.52
11;3.616;3.949;20.67;21.18;21.32
12;3.617;3.949;20.67;21.18;21.52
13;3.617;3.949;20.67;21.18;21.52
14;3.62;3.948;20.67;21.18;21.62
15;3.62;3.949;20.67;21.18;21.52
16;3.622;3.949;20.47;21.08;21.52
17;3.623;3.948;20.67;21.08;21.73
18;3.622;3.949;20.57;21.18;21.52
19;3.62;3.948;20.67;21.28;21.22
20;3.62;3.949;20.67;20.87;21.52
21;3.619;3.948;20.67;21.18;21.62
22;3.618;3.948;20.67;21.38;21.62
23;3.617;3.948;20.67;21.28;21.73
24;3.617;3.949;20.67;21.18;21.22
25;3.618;3.948;20.67;21.18;21.62
26;3.619;3.948;21.08;21.18;21.62
27;3.619;3.949;20.67;21.28;21.52
28;3.617;3.949;20.67;21.38;21.62
29;3.616;3.949;20.67;21.18;21.62
30;3.615;3.949;20.47;21.28;21.62
31;3.615;3.949;20.67;21.38;21.52
32;3.614;3.949;20.67;21.28;21.73
33;3.613;3.949;20.67;21.28;21.62
34;3.612;3.949;20.77;21.28;21.62
35;3.612;3.949;20.67;21.38;21.62
36;3.61;3.949;20.67;21.28;21.73
37;3.611;3.949;20.77;21.28;21.62
38;3.612;3.949;20.77;21.28;21.62
39;3.611;3.949;20.67;21.48;21.73
40;3.611;3.949;20.67;21.48;21.52
41;3.61;3.949;20.47;21.18;21.62
42;3.609;3.949;20.67;21.38;21.73
43;3.608;3.949;20.67;21.18;21.73
44;3.608;3.949;20.67;21.38;21.73
45;3.609;3.949;20.67;21.28;21.62
46;3.609;3.949;20.67;21.28;21.73
47;3.609;3.949;20.67;21.28;21.73
48;3.609;3.949;20.67;21.28;21.83
49;3.607;3.949;20.67;21.08;21.83
50;3.607;3.949;20.77;21.38;21.83
51;3.608;3.949;20.67;21.48;21.83
52;3.608;3.949;20.67;21.38;22.03
53;3.607;3.949;20.57;21.38;21.83
54;3.608;3.949;20.67;21.38;21.93
55;3.608;3.949;20.67;21.38;21.83
56;3.608;3.949;20.67;21.28;21.83
57;3.607;3.949;20.57;21.48;21.93
58;3.607;3.949;20.67;21.28;21.93
59;3.608;3.949;20.57;21.38;21.93
60;3.608;3.949;20.67;21.48;22.33
61;3.607;3.949;20.67;21.48;21.93
62;3.607;3.949;20.67;21.38;22.03
63;3.607;3.949;20.67;21.48;21.93
64;3.607;3.949;20.67;21.48;21.93
65;3.607;3.949;20.67;21.48;21.93
66;3.606;3.949;20.67;21.38;22.03
67;3.606;3.949;20.67;21.48;21.93
68;3.605;3.949;20.67;21.48;22.03
69;3.606;3.949;20.67;21.38;21.93
70;3.605;3.949;20.67;21.68;22.03
71;3.606;3.949;20.67;21.28;22.03
72;3.606;3.949;20.67;21.68;22.03
73;3.605;3.949;20.67;21.48;22.03
74;3.605;3.949;20.67;21.48;21.93
75;3.605;3.949;20.67;21.68;22.03
76;3.605;3.949;20.67;21.48;22.03
77;3.605;3.949;20.67;21.58;21.93
78;3.604;3.949;20.67;21.48;22.13
79;3.604;3.949;20.67;21.89;22.13
80;3.604;3.949;20.67;21.58;22.13
81;3.604;3.949;20.67;21.68;22.13
82;3.603;3.949;20.67;21.58;22.13
83;3.603;3.949;20.67;21.58;22.13
84;3.603;3.949;20.67;21.58;22.13
85;3.602;3.949;20.67;21.68;22.13
86;3.602;3.948;20.67;21.68;22.23
87;3.602;3.948;20.67;21.78;22.13
88;3.601;3.949;20.67;21.68;22.23
89;3.601;3.949;20.77;21.68;22.23
90;3.601;3.949;20.67;21.68;22.23
91;3.601;3.949;20.67;21.58;22.33
92;3.601;3.949;20.67;21.78;22.23
93;3.6;3.948;20.77;21.78;22.33
94;3.6;3.949;20.67;21.68;22.23
95;3.6;3.948;20.67;21.68;22.33
96;3.599;3.949;20.67;21.68;22.33
97;3.599;3.948;20.67;21.78;22.33
98;3.642;0.0;20.67;21.99;22.33
99;4.05;0.0;20.67;21.68;22.53
100;4.055;0.0;20.67;21.78;22.33
101;4.058;0.0;20.67;21.78;22.43
102;4.061;0.0;20.57;21.89;22.43
103;4.063;0.0;20.67;21.68;22.43
104;4.065;0.0;20.67;21.78;22.33
105;4.067;0.0;20.67;21.89;22.43
106;4.069;0.0;20.67;21.89;22.43
107;4.071;0.0;20.67;21.89;22.43
108;4.072;0.0;20.67;21.89;22.43
109;4.073;0.0;20.67;21.89;22.33
110;4.075;0.0;20.67;21.99;22.53
111;4.076;0.0;20.57;21.99;22.64
112;4.077;0.0;20.67;22.09;22.53
113;4.078;0.0;20.67;22.09;22.53
114;4.079;0.0;20.67;21.99;22.53
115;4.08;0.0;20.67;21.89;22.53
116;4.081;0.0;20.67;21.99;22.43
117;4.082;0.0;20.67;21.99;22.53
118;4.083;0.0;20.77;21.99;22.53
119;4.083;0.0;20.67;22.09;22.53
120;4.084;0.0;20.67;21.99;22.64
121;4.085;0.0;20.67;21.78;22.53
122;4.086;0.0;20.77;21.99;22.64
123;4.086;0.0;20.67;21.99;22.43
124;4.087;0.0;20.67;22.09;22.53
125;4.087;0.0;20.67;21.89;22.64
126;4.088;0.0;20.67;21.99;22.64
127;4.089;0.0;20.67;22.29;22.64
128;4.089;0.0;20.67;21.99;22.64
129;4.09;0.0;20.67;21.99;22.84
130;4.09;0.0;20.67;21.99;22.74
131;4.091;0.0;20.67;22.19;22.64
132;4.091;0.0;20.67;22.09;22.64
133;4.092;0.0;20.67;22.19;22.64
134;4.092;0.0;20.67;21.99;22.74
135;4.093;0.0;20.67;22.29;22.74
136;4.093;0.0;20.67;22.09;22.74
137;4.093;0.0;20.77;21.99;22.74
138;4.094;0.0;20.67;21.99;22.84
139;4.094;0.0;20.67;22.09;22.74
140;4.095;0.0;20.67;22.09;22.74
141;4.095;0.0;20.67;22.09;22.74
142;4.095;0.0;20.77;21.99;22.74
143;4.096;0.0;20.67;21.99;22.74
144;4.096;0.0;20.67;22.09;22.74
145;4.096;0.0;20.67;22.09;22.64
146;4.097;0.0;20.57;21.99;22.74
147;4.097;0.0;20.77;22.09;22.74
148;4.097;0.0;20.77;22.09;22.84
149;4.098;0.0;20.67;22.09;22.74
150;4.098;0.0;20.77;22.19;22.74
151;4.098;0.0;20.67;22.09;22.53
152;4.098;0.0;20.67;22.19;22.64
153;4.099;0.0;20.67;22.19;22.84
154;4.099;0.0;20.77;22.09;22.74
155;4.099;0.0;20.67;22.09;22.74
156;4.099;0.0;20.67;22.19;22.94
157;4.1;0.0;20.67;22.19;22.84
