time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.002;0.0;20.37;20.98;21.22
1;3.676;3.793;20.47;20.87;21.32
2;3.629;3.948;20.37;20.77;21.22
3;3.626;3.949;20.37;20.77;21.12
4;3.623;3.948;20.37;20.98;21.32
5;3.62;3.949;20.37;20.87;21.12
6;3.618;3.949;20.47;20.87;21.22
7;3.606;3.949;20.37;20.77;21.12
8;3.604;3.949;20.37;20.77;21.22
9;3.602;3.949;20.37;20.98;21.22
10;3.604;3.949;20.37;20.77;21.22
11;3.604;3.949;20.37;20.87;20.52
12;3.604;3.949;20.47;20.87;21.22
13;3.604;3.949;20.37;20.77;21.22
14;3.604;3.949;20.57;20.87;21.32
15;3.604;3.949;20.47;20.87;21.22
16;3.605;3.949;20.47;20.87;21.12
17;3.608;3.949;20.47;20.87;21.22
18;3.605;3.949;20.37;20.87;21.22
19;3.607;3.949;20.47;20.87;21.22
20;3.607;3.949;19.97;20.98;21.32
21;3.608;3.949;20.47;20.77;21.22
22;3.61;3.949;20.37;20.77;21.22
23;3.612;3.949;20.37;20.47;20.92
24;3.614;3.949;20.37;20.67;21.22
25;3.615;3.949;20.47;20.87;21.22
26;3.617;3.949;20.37;20.87;21.12
27;3.618;3.949;20.37;20.87;21.42
28;3.618;3.949;20.37;20.87;21.22
29;3.618;3.949;20.37;20.87;21.32
30;3.617;3.949;20.37;20.98;21.32
31;3.617;3.949;20.37;20.87;21.22
32;3.616;3.949;20.37;20.87;21.32
33;3.615;3.949;20.37;20.98;21.32
34;3.614;3.949;20.37;20.87;21.32
35;3.612;3.949;20.37;20.87;21.32
36;3.61;3.949;20.37;20.98;21.32
37;3.609;3.949;20.37;20.98;21.32
38;3.608;3.949;20.37;20.98;21.32
39;3.607;3.949;20.47;20.87;21.32
40;3.606;3.949;20.37;20.98;21.32
41;3.607;3.949;20.37;20.98;21.22
42;3.606;3.949;20.57;20.98;21.32
43;3.607;3.949;20.37;21.08;21.42
44;3.607;3.949;20.37;20.87;21.32
45;3.607;3.949;20.37;21.08;21.42
46;3.607;3.949;20.37;21.08;21.42
47;3.607;3.949;20.37;20.77;21.42
48;3.607;3.949;20.37;20.98;21.42
49;3.607;3.949;20.37;21.08;21.42
50;3.606;3.949;20.37;20.98;21.42
51;3.605;3.949;20.37;21.08;21.22
52;3.606;3.949;20.37;21.08;21.52
53;3.606;3.949;20.37;21.08;21.42
54;3.606;3.949;20.37;21.08;21.42
55;3.606;3.949;20.37;20.98;21.42
56;3.606;3.949;20.37;21.28;21.52
57;3.606;3.949;20.37;21.08;21.52
58;3.606;3.949;20.47;21.08;21.52
59;3.605;3.949;20.37;21.08;21.62
60;3.606;3.949;20.37;21.08;21.42
61;3.605;3.949;20.37;21.18;21.52
62;3.605;3.949;20.37;21.18;21.73
63;3.605;3.949;20.37;21.08;21.62
64;3.605;3.949;20.37;21.18;21.62
65;3.605;3.949;20.37;21.28;21.62
66;3.605;3.949;20.37;21.08;21.52
67;3.605;3.949;20.37;21.18;21.73
68;3.604;3.949;20.37;21.18;21.62
69;3.604;3.949;20.37;21.18;21.83
70;3.604;3.949;20.37;21.08;21.73
71;3.603;3.949;20.37;21.18;21.73
72;3.603;3.949;20.37;21.18;21.73
73;3.603;3.949;20.47;21.18;21.73
74;3.603;3.949;20.37;21.18;21.62
75;3.603;3.949;20.37;21.28;21.73
76;3.603;3.949;20.37;21.28;21.73
77;3.602;3.949;20.37;21.28;21.83
78;3.602;3.949;20.37;21.08;21.73
79;3.602;3.949;20.37;21.18;21.83
80;3.602;3.949;20.47;20.98;21.83
81;3.601;3.949;20.37;21.38;22.13
82;3.6;3.949;20.37;21.28;21.93
83;3.6;3.949;20.37;21.28;21.83
84;3.6;3.949;20.37;21.28;21.83
85;3.6;3.949;20.37;21.99;21.83
86;3.6;3.949;20.37;21.38;21.83
87;3.599;3.949;20.37;21.38;21.83
88;3.599;3.949;20.47;21.48;21.93
89;3.599;3.949;20.37;21.38;21.93
90;3.599;3.949;20.47;21.38;21.93
91;3.598;3.949;20.37;21.38;21.93
92;3.598;3.949;20.37;21.38;21.93
93;3.598;3.949;20.37;21.38;22.03
94;3.598;3.949;20.57;21.38;21.93
95;3.598;3.949;20.37;21.48;22.03
96;3.597;3.949;20.37;21.48;21.83
97;3.597;3.949;20.37;21.28;22.03
98;3.614;3.78;20.37;21.48;21.83
99;3.805;2.121;20.37;21.48;22.03
100;3.807;2.121;20.37;21.48;22.23
101;3.809;2.121;20.37;21.48;22.13
102;3.81;2.121;20.37;21.58;22.03
103;3.811;2.121;20.37;21.48;22.13
104;3.812;2.121;20.37;21.48;22.03
105;3.812;2.121;20.37;21.48;22.13
106;3.813;2.121;20.47;21.48;22.23
107;3.814;2.121;20.37;21.48;22.23
108;3.814;2.121;20.37;21.48;22.13
109;3.815;2.121;20.37;21.58;22.13
110;3.815;2.121;20.37;21.68;22.13
111;3.816;2.121;20.57;21.58;22.03
112;3.816;2.121;20.37;21.58;22.23
113;3.816;2.121;20.37;21.58;22.03
114;3.817;2.121;20.37;21.48;22.23
115;3.817;2.121;20.37;21.68;22.23
116;3.817;2.121;20.47;21.28;22.23
117;3.818;2.121;20.47;21.68;22.23
118;3.818;2.121;20.47;21.58;22.23
119;3.818;2.121;20.47;21.68;22.33
120;3.818;2.121;20.37;21.58;22.33
121;3.818;2.121;20.47;21.48;22.33
122;3.819;2.121;20.37;21.68;22.33
123;3.819;2.121;20.47;21.99;22.33
124;3.819;2.121;20.47;21.68;22.33
125;3.819;2.121;20.47;21.68;22.33
126;3.819;2.121;20.47;21.89;22.33
127;3.819;2.121;20.47;21.68;22.43
128;3.82;2.121;20.37;21.68;22.33
129;3.82;2.121;20.47;21.68;22.43
130;3.82;2.121;20.47;21.68;22.33
131;3.82;2.121;20.37;21.68;22.33
132;3.82;2.121;20.37;21.78;22.43
133;3.819;2.121;20.37;21.68;22.43
134;3.82;2.121;20.37;21.78;22.43
135;3.82;2.121;20.47;21.78;22.53
136;3.819;2.121;20.37;21.78;22.43
137;3.819;2.121;20.37;21.78;22.43
138;3.819;2.121;20.47;21.78;22.03
139;3.819;2.121;20.37;21.78;22.43
140;3.819;2.121;20.37;21.89;22.43
141;3.819;2.121;20.37;21.78;22.43
142;3.819;2.121;20.37;21.78;22.43
143;3.819;2.121;20.37;21.89;22.43
144;3.819;2.121;20.47;21.89;22.53
145;3.819;2.121;20.57;21.78;22.53
146;3.819;2.121;20.37;21.68;22.53
147;3.819;2.121;20.47;21.89;22.43
148;3.819;2.121;20.47;21.89;22.53
149;3.819;2.121;20.47;21.78;22.53
150;3.819;2.121;20.47;21.89;22.53
151;3.819;2.121;20.37;21.89;22.53
152;3.776;2.512;20.47;21.89;22.53
153;3.774;2.512;20.47;21.89;22.43
154;3.774;2.512;20.47;21.89;22.53
155;3.774;2.512;20.47;21.99;22.53
156;3.773;2.512;20.57;21.99;22.53
157;3.773;2.512;20.47;21.89;22.64
158;3.772;2.512;20.47;21.89;22.64
159;3.772;2.512;20.47;21.89;22.64
160;3.772;2.512;20.47;21.99;22.53
161;3.772;2.512;20.47;21.99;22.53
162;3.772;2.512;20.47;21.89;22.43
163;3.771;2.512;20.37;21.99;22.53
164;3.771;2.512;20.47;21.99;22.64
165;3.771;2.512;20.47;21.78;22.53
166;3.771;2.512;20.47;22.09;22.64
167;3.77;2.512;20.47;21.99;22.64
168;3.77;2.512;20.47;22.09;22.64
169;3.77;2.512;20.47;21.99;22.64
170;3.77;2.512;20.47;22.09;22.64
171;3.77;2.512;20.47;21.99;22.64
172;3.77;2.512;20.47;21.99;22.23
173;3.769;2.512;20.47;21.99;22.74
174;3.769;2.512;20.47;21.99;22.74
175;3.769;2.512;20.47;21.99;22.74
176;3.769;2.512;20.57;22.09;22.74
177;3.768;2.512;20.37;21.99;22.74
178;3.768;2.512;20.47;22.09;22.74
179;3.768;2.512;20.47;22.09;22.74
180;3.768;2.512;20.47;22.09;22.84
181;3.768;2.512;20.47;22.09;22.84
182;3.768;2.512;20.47;22.09;22.64
183;3.768;2.512;20.47;22.09;22.74
184;3.767;2.512;20.47;22.09;22.74
185;3.767;2.512;20.47;21.99;22.84
186;3.767;2.512;20.47;22.39;22.94
187;3.767;2.512;20.37;22.09;22.74
188;3.767;2.512;20.57;21.99;22.74
189;3.766;2.512;20.47;22.09;22.84
190;3.766;2.512;20.47;22.09;22.94
191;3.766;2.512;20.47;22.09;22.84
192;3.766;2.512;20.47;22.09;22.84
193;3.765;2.512;20.47;22.09;23.15
194;3.765;2.512;20.47;21.99;22.74
195;3.765;2.512;20.47;22.09;22.84
196;3.765;2.512;20.67;22.09;22.84
197;3.764;2.512;20.47;22.19;22.84
198;3.764;2.512;20.47;22.09;22.94
199;3.764;2.512;20.47;22.09;22.84
