time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.002;0.0;22.39;21.38;21.62
1;3.858;1.492;22.39;21.38;21.42
2;3.843;1.54;22.39;21.38;21.62
3;3.845;1.54;22.39;21.38;21.52
4;3.846;1.54;22.39;21.38;21.62
5;3.865;1.54;22.39;21.38;21.52
6;3.873;1.54;22.39;21.48;21.83
7;3.884;1.54;22.29;21.38;20.62
8;3.892;1.54;22.39;21.38;21.62
9;3.898;1.54;22.49;21.28;21.83
10;3.903;1.54;22.39;21.28;21.52
11;3.908;1.54;22.39;21.48;21.52
12;3.913;1.54;22.39;21.38;21.52
13;3.914;1.54;22.49;21.38;21.52
14;3.917;1.54;22.39;21.28;21.52
15;3.918;1.54;22.39;21.28;21.32
16;3.919;1.54;22.39;21.38;21.52
17;3.922;1.54;22.39;21.38;21.52
18;3.923;1.54;22.39;21.28;21.52
19;3.925;1.54;22.39;21.38;20.72
20;3.926;1.54;22.39;21.48;21.62
21;3.928;1.54;22.39;21.38;21.83
22;3.929;1.54;22.39;21.38;21.62
23;3.93;1.54;22.39;21.28;21.52
24;3.93;1.54;22.39;21.48;21.73
25;3.931;1.54;22.39;21.38;21.32
26;3.931;1.54;22.39;21.28;21.83
27;3.932;1.54;22.39;20.07;21.62
28;3.932;1.54;22.39;21.38;21.62
29;3.933;1.54;22.39;21.08;21.52
30;3.933;1.54;22.29;21.58;21.62
31;3.934;1.54;22.39;21.38;21.62
32;3.934;1.54;22.39;21.38;21.52
33;3.934;1.54;22.49;21.38;21.62
34;3.934;1.54;22.39;21.38;21.73
35;3.934;1.54;22.39;21.38;21.62
36;3.935;1.54;22.39;21.38;21.32
37;3.935;1.54;22.29;21.38;21.62
38;3.935;1.54;22.39;21.38;21.62
39;3.935;1.54;22.39;21.38;21.83
40;3.934;1.54;22.39;21.38;21.42
41;3.934;1.54;22.39;21.38;21.52
42;3.934;1.54;22.39;21.58;21.83
43;3.934;1.54;22.49;21.38;21.62
44;3.933;1.54;22.39;19.97;21.73
45;3.933;1.54;22.39;21.58;21.73
46;3.933;1.54;22.39;21.38;21.62
47;3.932;1.54;22.39;21.38;21.83
48;3.932;1.54;22.29;21.38;21.62
49;3.932;1.54;22.39;21.38;21.62
50;3.932;1.54;22.29;21.38;21.62
51;3.932;1.54;22.29;21.38;21.93
52;3.931;1.54;22.29;21.48;21.62
53;3.931;1.54;22.29;21.38;21.52
54;3.931;1.54;22.29;21.48;21.73
55;3.93;1.54;22.29;21.58;21.62
56;3.93;1.54;22.29;21.38;21.52
57;3.93;1.54;22.29;21.48;21.73
58;3.93;1.54;22.29;21.38;21.73
59;3.929;1.54;22.29;21.38;21.62
60;3.929;1.54;22.29;21.58;21.12
61;3.929;1.54;22.29;21.38;21.62
62;3.928;1.54;22.39;21.38;21.62
63;3.928;1.54;22.29;21.38;21.83
64;3.928;1.54;22.29;21.38;21.62
65;3.928;1.54;22.29;21.18;21.73
66;3.927;1.54;22.29;21.48;21.93
67;3.927;1.54;22.29;21.48;21.62
68;3.927;1.54;22.29;21.38;21.22
69;3.927;1.54;22.29;21.38;21.62
70;3.926;1.54;22.29;21.38;21.73
71;3.926;1.54;22.29;21.58;21.62
72;3.926;1.54;22.29;21.48;21.62
73;3.926;1.54;22.29;21.38;21.73
74;3.925;1.54;22.29;21.48;21.73
75;3.925;1.54;22.29;21.48;21.73
76;3.925;1.54;22.29;21.48;21.62
77;3.925;1.54;22.29;21.48;21.62
78;3.925;1.54;22.29;21.48;21.52
79;3.924;1.54;22.29;21.58;21.73
80;3.924;1.54;22.39;21.28;21.73
81;3.924;1.54;22.39;21.48;21.73
82;3.924;1.54;22.29;21.38;21.42
83;3.923;1.54;22.39;21.48;21.52
84;3.923;1.54;22.39;21.48;21.83
85;3.923;1.54;22.39;21.48;21.62
86;3.923;1.54;22.29;21.48;21.62
87;3.922;1.54;22.39;21.48;20.12
88;3.922;1.54;22.39;21.48;21.52
89;3.922;1.54;22.39;21.28;21.73
90;3.922;1.54;22.39;21.48;21.52
91;3.921;1.54;22.39;21.48;21.42
92;3.921;1.54;22.39;21.48;21.73
93;3.921;1.54;22.39;21.48;21.83
94;3.921;1.54;22.39;21.68;21.73
95;3.92;1.54;22.39;21.48;21.73
96;3.92;1.54;22.39;21.48;21.73
97;3.92;1.54;22.49;21.48;21.73
98;3.92;1.54;22.39;21.48;21.73
99;3.92;1.54;22.39;21.48;21.62
100;3.919;1.54;22.39;21.38;21.42
101;3.919;1.54;22.39;21.48;21.73
102;3.919;1.54;22.39;21.58;21.73
103;3.919;1.54;22.39;21.58;21.93
104;3.918;1.54;22.39;21.68;21.52
105;3.918;1.54;22.39;21.48;21.73
106;3.918;1.54;22.39;21.48;21.62
107;3.918;1.54;21.78;21.48;21.73
108;3.918;1.54;22.39;21.48;21.73
109;3.917;1.54;22.49;21.48;21.93
110;3.917;1.54;22.39;21.58;21.73
111;3.917;1.54;22.49;21.48;21.93
112;3.917;1.54;22.29;21.48;21.73
113;3.917;1.54;22.39;21.58;21.62
114;3.916;1.54;22.39;21.48;21.83
115;3.916;1.54;22.39;21.48;21.73
116;3.916;1.54;22.39;21.68;21.83
117;3.916;1.54;22.39;21.68;21.83
118;3.915;1.54;22.39;21.68;21.62
119;3.915;1.54;22.39;21.48;21.73
120;3.915;1.54;22.39;21.48;21.73
121;3.915;1.54;22.39;21.58;21.83
122;3.915;1.54;22.49;21.48;21.73
123;3.914;1.54;22.39;21.48;21.73
124;3.914;1.54;22.39;21.58;21.93
125;3.914;1.54;22.39;21.58;21.83
126;3.914;1.54;22.39;21.48;21.83
127;3.914;1.54;22.39;21.48;21.73
128;3.914;1.54;22.39;21.58;21.62
129;3.913;1.54;22.49;21.58;21.62
130;3.913;1.54;22.39;21.48;21.83
131;3.913;1.54;22.39;21.38;21.83
132;3.913;1.54;22.29;21.58;21.73
133;3.912;1.54;22.39;21.68;21.83
134;3.912;1.54;22.39;21.58;21.83
135;3.912;1.54;22.29;21.58;21.83
136;3.912;1.54;22.39;21.48;21.73
137;3.912;1.54;22.39;21.58;21.73
138;3.911;1.54;22.39;21.48;22.03
139;3.911;1.54;22.39;21.48;21.83
140;3.911;1.54;22.39;22.7;21.83
141;3.911;1.54;22.39;21.58;21.73
142;3.911;1.54;22.39;21.58;22.03
143;3.91;1.54;22.39;21.58;21.83
144;3.91;1.54;22.39;21.48;21.83
145;3.91;1.54;22.39;21.58;21.93
146;3.91;1.54;22.39;21.48;21.73
147;3.91;1.54;22.39;21.58;21.83
148;3.909;1.54;22.39;21.78;21.83
149;3.909;1.54;22.39;21.58;21.73
150;3.909;1.54;22.39;21.58;21.93
151;3.909;1.54;22.39;21.68;21.93
152;3.909;1.54;22.29;21.68;21.83
153;3.909;1.54;22.39;21.28;21.83
154;3.908;1.54;22.29;21.58;21.83
155;3.908;1.54;22.39;21.58;22.13
156;3.908;1.54;22.39;21.58;21.93
157;3.908;1.54;22.29;21.58;21.73
158;3.908;1.54;22.39;21.58;22.03
159;3.908;1.54;22.29;21.58;21.83
160;3.907;1.54;22.39;21.58;21.83
161;3.907;1.54;22.49;21.78;21.93
