time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.004;0.0;20.07;19.06;19.42
1;4.021;0.77;20.07;19.06;19.42
2;4.012;0.77;20.07;19.06;19.52
3;4.002;0.77;20.17;19.16;19.42
4;4.0;0.77;20.07;19.06;19.52
5;3.999;0.77;20.07;18.66;19.42
6;3.998;0.77;20.07;19.06;19.62
7;3.998;0.77;20.07;19.06;19.82
8;3.998;0.77;20.17;19.06;19.52
9;3.997;0.77;20.07;19.26;19.52
10;3.996;0.77;20.07;19.06;19.62
11;3.996;0.77;20.07;19.16;19.42
12;3.995;0.77;20.07;19.06;19.62
13;3.995;0.77;20.07;19.06;19.52
14;3.995;0.77;20.07;19.06;19.52
15;3.995;0.77;20.07;19.16;19.62
16;3.994;0.77;20.07;18.96;19.42
17;3.993;0.77;20.07;19.06;19.52
18;3.993;0.77;20.07;19.16;19.52
19;3.993;0.77;20.07;19.06;19.52
20;3.992;0.77;20.07;19.06;19.52
21;3.992;0.77;20.07;19.06;19.52
22;3.991;0.77;20.07;19.06;19.52
23;3.991;0.77;20.07;19.16;19.23
24;3.991;0.77;20.07;19.06;19.52
25;3.991;0.77;20.07;19.26;19.62
26;3.99;0.77;20.07;19.06;19.42
27;3.99;0.77;20.07;19.16;19.52
28;3.99;0.77;20.07;19.16;19.52
29;3.99;0.77;20.07;18.96;19.62
30;3.99;0.77;20.07;19.06;19.42
31;3.989;0.77;20.17;19.16;19.52
32;3.989;0.77;20.07;19.06;19.62
33;3.989;0.77;20.07;19.06;19.52
34;3.988;0.77;20.17;18.96;19.52
35;3.988;0.77;20.07;19.16;19.52
36;3.988;0.77;20.17;19.06;19.62
37;3.988;0.77;20.07;19.06;19.42
38;3.987;0.77;20.17;19.06;19.42
39;3.987;0.77;20.17;19.06;19.52
40;3.987;0.77;20.17;19.06;19.52
41;3.987;0.77;20.17;19.06;18.04
42;3.986;0.77;20.17;19.16;19.62
43;3.986;0.77;20.17;19.16;19.52
44;3.986;0.77;20.17;19.06;19.52
45;3.986;0.77;20.17;19.06;19.72
46;3.986;0.77;20.17;19.26;19.52
47;3.985;0.77;20.27;19.06;19.23
48;3.985;0.77;20.17;19.16;19.52
49;3.985;0.77;20.17;19.16;19.62
50;3.985;0.77;20.17;19.16;19.32
51;3.985;0.77;20.17;19.26;19.52
52;3.984;0.77;20.17;19.16;19.62
53;3.984;0.77;20.17;19.16;19.62
54;3.984;0.77;20.17;19.16;19.52
55;3.984;0.77;20.17;19.16;19.52
56;4.076;0.0;20.17;19.06;19.42
57;4.13;0.0;20.17;19.06;19.42
58;4.133;0.0;20.17;19.16;19.62
59;4.134;0.0;20.17;19.16;19.52
