time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.003;0.0;21.08;19.97;20.22
1;3.493;3.733;21.08;19.87;20.42
2;3.408;3.948;21.18;20.17;20.42
3;3.397;3.948;21.08;19.87;20.22
4;3.392;3.948;21.08;20.07;20.22
5;3.396;3.948;21.18;20.07;20.32
6;3.405;3.948;21.08;19.97;20.42
7;3.408;3.948;21.08;19.97;20.22
8;3.411;3.948;21.08;20.57;20.32
9;3.411;3.948;21.08;20.17;20.32
10;3.409;3.948;21.18;19.97;20.42
11;3.408;3.948;21.18;20.07;20.42
12;3.407;3.948;21.18;19.97;20.42
13;3.404;3.948;21.18;19.97;20.42
14;3.403;3.948;21.18;19.97;20.42
15;3.403;3.948;21.18;20.07;20.52
16;3.4;3.948;21.18;19.87;20.42
17;3.398;3.948;21.18;19.97;20.52
18;3.398;3.948;21.18;20.07;21.73
19;3.397;3.948;21.18;20.07;20.42
20;3.396;3.948;21.18;20.17;19.13
21;3.396;3.948;21.18;20.07;20.52
22;3.398;3.948;21.18;18.96;20.52
23;3.397;3.948;21.18;20.07;20.52
24;3.397;3.948;21.18;20.07;20.52
25;3.397;3.948;21.18;20.47;20.62
26;3.395;3.948;21.18;20.17;20.52
27;3.398;3.948;21.18;20.07;20.52
28;3.397;3.948;21.18;20.17;20.62
29;3.396;3.948;21.18;20.17;20.62
30;3.395;3.948;21.28;20.27;20.62
31;3.394;3.948;21.18;20.37;20.42
32;3.393;3.948;21.28;20.37;20.72
33;3.392;3.948;21.18;20.27;20.52
34;3.392;3.948;21.18;20.27;20.62
35;3.391;3.948;21.18;20.37;20.42
36;3.391;3.948;21.18;20.27;20.92
37;3.392;3.948;21.18;20.27;20.72
38;3.392;3.948;21.18;20.27;20.72
39;3.39;3.948;21.18;20.17;20.92
40;3.391;3.948;21.18;20.47;20.72
41;3.392;3.948;21.18;20.27;20.82
42;3.392;3.948;21.18;20.57;20.72
43;3.391;3.948;21.18;20.37;20.82
44;3.391;3.948;21.18;20.37;20.82
45;3.391;3.948;21.28;20.47;20.92
46;3.391;3.948;21.18;20.27;20.62
47;3.391;3.948;21.18;20.57;22.03
48;3.391;3.948;21.08;20.47;20.82
49;3.391;3.948;21.18;20.47;20.92
50;3.391;3.948;21.18;20.47;20.82
51;3.391;3.948;21.18;20.47;20.92
52;3.391;3.948;21.18;20.47;20.92
53;3.391;3.948;21.18;20.57;20.92
54;3.39;3.948;21.18;20.57;20.92
55;3.39;3.948;21.18;20.57;21.02
56;3.39;3.948;21.18;20.77;21.02
57;3.39;3.948;21.18;20.67;22.43
58;3.39;3.948;21.18;20.67;21.12
59;3.39;3.948;21.08;20.57;20.92
60;3.391;3.948;21.08;20.67;21.12
61;3.39;3.948;21.08;20.67;21.22
62;3.39;3.948;21.08;20.67;21.22
63;3.39;3.948;21.08;20.67;21.12
64;3.391;3.948;21.08;20.57;21.12
65;3.391;3.948;21.08;20.67;21.22
66;3.39;3.948;21.08;20.77;21.22
67;3.39;3.948;21.08;20.77;21.22
68;3.39;3.948;21.08;20.67;21.12
69;3.389;3.948;21.08;20.77;21.32
70;3.39;3.948;21.08;20.77;21.32
71;3.39;3.948;21.08;20.87;21.32
72;3.389;3.948;21.08;20.87;21.32
73;3.389;3.948;21.08;20.98;21.32
74;3.389;3.948;21.08;20.98;21.32
75;3.389;3.948;21.08;21.48;21.42
76;3.389;3.948;21.08;20.98;21.42
77;3.389;3.948;21.08;20.87;21.62
78;3.389;3.948;21.08;20.87;21.42
79;3.39;3.948;21.08;21.18;21.22
80;3.39;3.948;21.08;20.98;21.52
81;3.39;3.948;21.18;21.28;21.73
82;3.39;3.948;21.08;20.98;21.52
83;3.39;3.948;21.08;21.08;21.62
84;3.39;3.948;21.08;21.18;21.52
85;3.39;3.948;21.08;21.08;21.62
86;3.39;3.948;21.08;21.18;21.62
87;3.39;3.948;21.18;21.08;21.62
88;3.39;3.948;21.08;21.18;21.73
89;3.39;3.948;21.08;21.18;21.83
90;3.39;3.948;21.18;21.28;21.83
91;3.39;3.948;21.08;21.18;21.73
92;3.39;3.948;21.18;21.38;21.73
93;3.39;3.948;21.18;21.28;21.83
94;3.39;3.948;21.18;21.28;21.83
95;3.39;3.948;21.18;21.28;21.83
96;3.39;3.948;21.18;21.18;21.83
97;3.39;3.948;21.08;21.28;21.93
98;3.39;3.948;21.18;21.18;21.83
99;3.426;3.706;21.08;21.28;22.03
100;3.681;2.121;21.18;21.48;21.83
101;3.684;2.121;21.18;21.38;21.93
102;3.686;2.121;21.18;21.48;21.93
103;3.688;2.121;21.18;21.48;22.03
104;3.689;2.121;21.18;21.48;22.03
105;3.69;2.121;21.28;21.48;22.03
106;3.691;2.121;21.18;21.48;22.03
107;3.692;2.121;21.18;21.48;22.03
108;3.693;2.121;21.18;21.48;22.13
109;3.694;2.121;21.18;21.38;22.03
110;3.695;2.121;21.08;21.58;22.13
111;3.695;2.121;21.08;21.48;23.35
112;3.696;2.121;21.18;21.58;22.13
113;3.697;2.121;21.08;21.58;22.13
114;3.697;2.121;21.18;21.58;22.23
115;3.698;2.121;21.18;21.58;22.23
116;3.698;2.121;21.18;21.68;22.33
117;3.698;2.121;21.08;21.58;22.03
118;3.699;2.121;21.18;21.68;22.23
119;3.699;2.121;21.08;21.58;22.23
120;3.699;2.121;21.08;21.68;22.23
121;3.7;2.121;21.08;21.78;22.23
122;3.7;2.121;21.08;22.29;22.23
123;3.7;2.121;21.08;21.78;22.33
124;3.701;2.121;21.08;21.89;22.23
125;3.701;2.121;21.08;21.68;22.43
126;3.701;2.121;21.08;21.78;22.43
127;3.701;2.121;21.08;21.78;22.33
128;3.702;2.121;21.08;21.78;22.33
129;3.702;2.121;21.18;21.89;22.33
130;3.702;2.121;21.08;21.89;22.23
131;3.702;2.121;21.08;21.78;22.43
132;3.702;2.121;21.18;21.78;22.43
133;3.702;2.121;21.08;21.89;21.93
134;3.703;2.121;21.08;21.68;21.83
135;3.703;2.121;21.18;21.89;22.53
136;3.703;2.121;21.08;21.89;22.43
137;3.703;2.121;21.08;21.89;22.43
138;3.703;2.121;21.08;22.19;22.74
139;3.703;2.121;21.18;21.89;22.43
140;3.703;2.121;21.18;21.99;22.43
141;3.703;2.121;21.08;21.89;22.64
142;3.704;2.121;21.18;21.99;22.53
143;3.704;2.121;21.18;21.89;22.74
144;3.704;2.121;21.18;21.89;22.53
145;3.704;2.121;21.18;21.99;22.53
146;3.704;2.121;21.18;22.09;22.84
147;3.704;2.121;21.18;21.99;22.53
148;3.704;2.121;21.18;21.89;22.64
149;3.704;2.121;21.18;22.09;22.64
150;3.704;2.121;21.18;21.99;22.64
151;3.704;2.121;21.18;22.09;21.83
152;3.704;2.121;21.18;22.19;22.53
153;3.68;2.287;21.28;21.99;22.64
154;3.643;2.512;21.18;22.09;22.64
155;3.642;2.512;21.18;22.09;22.64
156;3.642;2.512;21.18;22.19;22.53
157;3.642;2.512;21.18;22.09;22.64
158;3.641;2.512;21.18;21.89;22.53
159;3.641;2.512;21.18;22.09;22.53
160;3.641;2.512;21.28;22.09;22.53
161;3.64;2.512;21.18;22.19;22.33
162;3.64;2.512;21.18;22.09;22.64
163;3.64;2.512;21.28;22.19;22.53
