time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.0;0.0;20.77;19.37;19.62
1;2.866;0.153;20.77;19.26;19.72
2;2.875;0.154;20.77;19.16;19.62
3;2.88;0.154;20.77;19.37;19.82
4;2.884;0.154;20.77;19.26;19.92
5;2.886;0.154;20.77;19.26;19.82
6;2.888;0.154;20.87;19.26;19.72
7;2.889;0.154;20.77;19.37;20.12
8;2.89;0.154;20.77;19.26;19.62
9;2.893;0.154;20.77;19.37;19.92
10;2.892;0.154;20.77;19.06;19.82
11;2.894;0.154;20.77;19.26;19.72
12;2.894;0.154;20.87;19.37;19.72
13;2.896;0.154;20.77;19.37;19.82
14;2.897;0.154;20.77;19.26;19.82
15;2.898;0.154;20.77;19.26;19.72
16;2.898;0.154;20.77;19.37;19.72
17;2.899;0.154;20.77;19.37;19.62
18;2.901;0.154;20.77;19.37;19.72
19;2.901;0.154;20.77;19.37;19.82
20;2.902;0.154;20.77;19.37;19.72
21;2.903;0.154;20.77;19.26;19.72
22;2.904;0.154;20.77;19.37;19.72
23;2.905;0.154;20.77;19.26;19.72
24;2.905;0.154;20.77;19.37;19.72
25;2.905;0.154;20.77;19.37;19.82
26;2.906;0.154;20.77;19.37;19.62
27;2.907;0.154;20.77;19.37;19.52
28;2.908;0.154;20.77;19.26;19.42
29;2.909;0.154;20.77;19.26;19.82
30;2.909;0.154;20.77;19.26;19.52
31;2.91;0.154;20.77;19.26;19.92
32;2.91;0.154;20.77;19.37;19.72
33;2.911;0.154;20.77;19.26;19.72
34;2.912;0.154;20.77;19.26;19.92
35;2.912;0.154;20.87;19.26;19.62
36;2.913;0.154;20.77;19.26;19.72
37;2.914;0.154;20.77;19.47;19.72
38;2.915;0.154;20.77;19.26;19.82
39;2.915;0.154;20.77;19.26;19.72
40;2.916;0.154;20.77;19.77;19.92
41;2.916;0.154;20.77;19.26;19.92
42;2.917;0.154;20.77;19.26;19.72
43;2.918;0.154;20.77;19.26;19.72
44;2.918;0.154;20.77;19.37;19.72
45;2.919;0.154;20.77;19.37;19.62
46;2.919;0.154;20.77;19.16;19.92
47;2.92;0.154;20.77;19.37;19.72
48;2.921;0.154;20.77;19.37;19.92
49;2.921;0.154;20.77;19.37;19.82
50;2.922;0.154;20.77;19.26;19.72
51;2.922;0.154;20.77;19.37;19.72
52;2.923;0.154;20.77;19.37;19.72
53;2.923;0.154;20.77;19.26;19.92
54;2.924;0.154;20.77;19.26;19.72
55;2.924;0.154;20.77;19.26;19.72
56;2.925;0.154;20.77;19.26;19.72
57;2.926;0.154;20.77;19.26;19.82
58;2.926;0.154;20.77;19.26;19.82
59;2.927;0.154;20.77;19.26;20.72
60;2.928;0.154;20.87;19.26;19.82
61;2.928;0.154;20.77;19.26;19.23
62;2.927;0.154;20.77;19.26;19.82
63;2.929;0.155;20.77;19.26;19.72
64;2.93;0.154;20.77;19.97;19.72
65;2.93;0.155;20.77;19.26;19.72
66;2.931;0.154;20.87;19.26;19.72
67;2.931;0.155;20.77;19.26;19.92
68;2.932;0.154;20.77;19.37;19.62
69;2.932;0.154;20.77;19.37;19.72
70;2.933;0.154;20.77;19.37;19.82
71;2.933;0.154;20.87;19.26;19.72
72;2.934;0.154;20.77;19.26;19.62
73;2.934;0.154;20.87;19.37;19.72
74;2.935;0.154;20.87;19.37;19.92
75;2.935;0.154;20.87;19.37;20.02
76;2.936;0.154;20.87;19.37;19.82
77;2.936;0.154;20.87;19.37;19.72
78;2.937;0.154;20.87;19.26;19.72
79;2.937;0.154;20.87;19.37;19.72
80;2.938;0.154;20.77;19.26;19.72
81;2.939;0.154;20.87;19.26;19.72
82;2.939;0.154;20.87;19.26;19.82
83;2.94;0.154;20.77;19.26;19.72
84;2.94;0.154;20.87;19.16;19.72
85;2.941;0.155;20.77;19.26;19.72
86;2.941;0.154;20.77;19.26;19.72
87;2.941;0.154;20.87;19.16;19.72
88;2.942;0.154;20.77;19.37;19.72
