time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.003;0.0;22.7;21.08;21.73
1;4.004;0.72;22.6;20.98;21.52
2;3.983;0.77;22.6;20.98;21.42
3;3.978;0.77;22.6;21.08;21.62
4;3.99;0.77;22.6;21.08;21.52
5;3.991;0.77;22.6;21.08;21.62
6;3.991;0.77;22.6;21.18;21.32
7;3.991;0.77;22.6;21.18;21.52
8;3.99;0.77;22.7;21.18;21.42
9;3.99;0.77;22.7;21.08;21.52
10;3.993;0.77;22.6;20.98;21.62
11;3.993;0.77;22.6;21.08;21.52
12;3.992;0.77;22.7;21.18;21.32
13;3.995;0.77;22.6;21.08;21.52
14;3.992;0.77;22.6;21.08;21.42
15;3.994;0.77;22.6;21.08;21.52
16;3.992;0.77;22.6;20.98;21.62
17;3.993;0.77;22.6;21.08;21.52
18;3.994;0.77;22.6;21.78;21.42
19;3.993;0.77;22.6;21.08;21.62
20;3.99;0.77;22.6;21.08;21.52
21;3.99;0.77;22.6;20.98;21.42
22;3.99;0.77;22.6;21.08;21.52
23;3.988;0.77;22.6;20.98;21.52
24;3.989;0.77;22.6;20.98;21.52
25;3.991;0.77;22.6;20.98;21.52
26;3.989;0.77;22.6;20.98;21.32
27;3.989;0.77;22.6;20.87;21.52
28;3.989;0.77;22.6;21.08;21.42
29;3.991;0.77;22.6;21.18;21.42
30;3.99;0.77;22.6;20.98;21.62
31;3.988;0.77;22.6;21.08;21.52
32;3.988;0.77;22.6;21.08;21.52
33;3.988;0.77;22.6;21.08;21.42
34;3.987;0.77;22.6;21.08;21.42
35;3.989;0.77;22.49;21.08;21.52
36;3.989;0.77;22.6;21.08;21.42
37;3.99;0.77;22.6;21.08;21.52
38;3.989;0.77;22.6;21.08;21.52
39;3.99;0.77;22.6;21.08;21.42
40;3.991;0.77;22.6;21.08;21.52
41;3.99;0.77;22.6;21.18;21.52
42;3.991;0.77;22.6;21.08;21.12
43;3.99;0.77;22.6;21.18;21.62
44;3.991;0.77;22.6;21.28;21.52
45;3.991;0.77;22.6;21.08;21.42
46;3.991;0.77;22.6;21.18;21.52
47;3.991;0.77;22.6;21.08;21.73
48;3.992;0.77;22.6;20.98;21.52
49;3.992;0.77;22.6;21.08;21.52
50;3.991;0.77;22.6;21.08;21.52
51;3.991;0.77;22.8;20.98;21.52
52;3.991;0.77;22.6;21.08;21.52
53;3.991;0.77;22.6;20.98;21.52
54;3.99;0.77;22.6;20.98;21.62
55;3.991;0.77;22.6;21.08;21.52
56;3.851;1.501;22.7;21.08;21.52
57;3.839;1.54;22.7;21.28;21.42
58;3.838;1.54;22.6;21.08;21.42
59;3.837;1.54;22.6;21.08;21.62
60;3.836;1.54;22.6;21.08;21.52
61;3.835;1.54;22.6;21.08;21.62
62;3.835;1.54;22.6;21.08;21.52
63;3.834;1.54;22.6;21.08;21.52
64;3.834;1.54;22.6;21.08;21.52
65;3.834;1.54;22.6;20.87;21.52
66;3.834;1.54;22.6;21.08;21.52
67;3.833;1.54;22.7;20.98;21.52
68;3.833;1.54;22.7;21.08;21.42
69;3.833;1.54;22.6;20.87;21.62
70;3.832;1.54;22.7;20.67;21.42
71;3.832;1.54;22.6;21.08;21.52
72;3.831;1.54;22.7;21.18;21.42
73;3.831;1.54;22.7;21.08;21.62
74;3.831;1.54;22.6;21.08;21.52
75;3.83;1.54;22.7;20.87;21.52
76;3.83;1.54;22.6;21.08;22.23
77;3.83;1.54;22.6;20.98;21.42
78;3.829;1.54;22.7;21.08;21.52
79;3.829;1.54;22.6;21.08;21.52
80;3.829;1.54;22.6;21.18;21.42
81;3.828;1.54;22.7;21.08;21.52
82;3.828;1.54;22.6;21.08;20.82
83;3.828;1.54;22.6;21.08;21.52
84;3.828;1.54;22.7;21.08;21.52
85;3.827;1.54;22.49;21.08;21.02
