time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.004;0.0;22.9;20.98;21.93
1;3.542;2.929;22.9;20.98;21.93
2;3.491;3.08;23.0;20.98;21.93
3;3.502;3.08;23.0;20.98;21.93
4;3.5;3.08;23.0;20.98;21.83
5;3.506;3.08;23.0;20.98;21.73
6;3.525;3.08;23.0;20.98;21.93
7;3.535;3.08;23.1;20.47;22.33
8;3.539;3.08;23.0;20.98;21.93
9;3.543;3.08;23.0;20.98;21.93
10;3.542;3.08;22.9;20.98;21.93
11;3.54;3.08;23.0;20.98;21.93
12;3.539;3.08;23.0;21.08;21.73
13;3.54;3.08;23.0;20.98;21.93
14;3.542;3.08;23.0;20.98;21.93
15;3.539;3.08;23.0;21.08;21.83
16;3.54;3.08;23.1;20.98;21.93
17;3.538;3.08;23.0;20.98;21.93
18;3.534;3.08;23.0;20.98;22.13
19;3.534;3.08;22.9;21.08;21.93
20;3.532;3.08;22.9;20.98;21.93
21;3.532;3.08;22.9;21.08;21.93
22;3.53;3.08;23.0;20.98;21.83
23;3.529;3.08;22.9;21.08;21.93
24;3.528;3.08;22.9;21.18;22.13
25;3.527;3.08;22.9;21.48;22.13
26;3.528;3.08;22.9;21.08;22.03
27;3.527;3.08;22.9;21.08;22.03
28;3.527;3.08;22.9;21.08;21.93
29;3.524;3.08;22.9;21.08;22.13
30;3.523;3.08;22.9;21.08;22.03
31;3.521;3.08;22.9;21.08;21.93
32;3.522;3.08;23.0;21.08;22.03
33;3.523;3.08;22.9;21.08;22.03
34;3.525;3.08;22.9;21.08;22.03
35;3.523;3.08;22.9;21.08;21.62
36;3.523;3.08;22.9;21.18;22.03
37;3.525;3.08;23.0;21.08;22.03
38;3.526;3.08;22.9;20.47;22.03
39;3.524;3.08;22.9;21.18;22.13
40;3.523;3.08;22.9;21.18;22.03
41;3.524;3.08;22.9;21.18;22.64
42;3.523;3.08;22.9;21.08;22.03
43;3.524;3.08;23.0;21.18;22.13
44;3.525;3.08;22.9;21.18;22.13
45;3.526;3.08;22.9;21.18;22.13
46;3.526;3.08;23.0;21.58;22.03
47;3.526;3.08;22.9;21.18;22.13
48;3.527;3.08;22.9;21.38;22.33
49;3.527;3.08;23.0;21.28;22.23
50;3.527;3.08;22.9;21.38;22.13
51;3.527;3.08;22.9;21.28;22.13
52;3.527;3.08;23.0;21.18;22.13
53;3.527;3.08;22.9;21.38;22.23
54;3.528;3.08;22.9;21.28;22.03
55;3.528;3.08;22.9;21.28;22.23
56;3.528;3.08;22.49;21.28;22.23
57;3.528;3.08;22.9;21.28;22.03
58;3.528;3.08;22.9;20.98;22.23
59;3.528;3.08;22.9;21.38;22.23
60;3.527;3.08;22.9;21.38;22.23
61;3.527;3.08;22.9;21.28;22.33
62;3.527;3.08;22.9;21.38;22.33
63;3.527;3.08;22.9;21.38;22.33
64;3.527;3.08;22.9;21.38;22.33
65;3.527;3.08;23.0;21.48;22.23
66;3.527;3.08;22.9;21.38;22.33
67;3.527;3.08;22.9;21.38;22.33
68;3.527;3.08;22.9;21.48;22.43
69;3.527;3.08;22.9;21.38;22.33
70;3.527;3.08;22.9;21.48;22.43
71;3.527;3.08;22.9;21.48;22.23
72;3.526;3.08;22.9;21.48;22.43
73;3.526;3.08;22.9;21.48;22.33
74;3.526;3.08;22.9;21.48;22.53
75;3.526;3.08;22.9;21.48;22.53
76;3.526;3.08;22.9;21.48;22.43
77;3.526;3.08;22.9;21.48;22.43
78;3.526;3.08;22.9;21.58;22.53
79;3.525;3.08;22.9;21.48;22.53
80;3.525;3.08;22.9;21.58;22.43
81;3.525;3.08;22.9;21.58;22.53
82;3.525;3.08;22.9;21.58;22.43
83;3.525;3.08;22.9;21.58;22.53
84;3.525;3.08;23.0;21.48;22.43
85;3.525;3.08;22.9;21.58;22.53
86;3.524;3.08;22.9;21.58;22.43
87;3.524;3.08;22.9;21.58;22.43
88;3.524;3.08;23.0;21.58;22.53
89;3.524;3.08;22.9;21.68;22.74
90;3.524;3.08;22.9;21.68;22.64
91;3.524;3.08;22.9;21.68;22.64
92;3.524;3.08;22.9;21.68;22.64
93;3.523;3.08;22.9;21.68;22.53
94;3.523;3.08;22.9;21.78;22.74
95;3.523;3.08;22.9;21.68;22.53
96;3.523;3.08;23.0;21.68;22.74
97;3.523;3.08;22.9;21.68;22.64
98;3.523;3.08;22.9;21.78;22.74
99;3.523;3.08;22.9;21.89;22.74
100;3.523;3.08;22.9;21.78;22.84
101;3.523;3.08;22.9;21.78;22.74
102;3.522;3.08;23.0;21.78;22.74
103;3.522;3.08;22.9;21.78;22.74
104;3.522;3.08;22.9;21.78;22.74
105;3.522;3.08;22.9;21.78;22.84
106;3.522;3.08;22.9;21.89;22.74
107;3.522;3.08;22.9;21.89;22.74
108;3.522;3.08;22.9;21.99;22.94
109;3.522;3.08;22.9;21.89;22.84
110;3.522;3.08;22.9;21.89;23.04
111;3.521;3.08;22.9;21.89;22.84
112;3.521;3.08;23.0;21.89;23.04
113;3.521;3.08;23.0;21.99;22.84
114;3.521;3.08;22.9;21.89;22.94
115;3.521;3.08;23.0;21.99;22.84
116;3.521;3.08;22.9;22.09;22.84
117;3.521;3.08;22.9;21.89;23.04
118;3.521;3.08;22.9;22.09;22.94
119;3.521;3.08;22.9;21.99;22.94
120;3.52;3.08;23.0;21.89;22.84
121;3.52;3.08;22.9;21.99;23.04
122;3.52;3.08;22.9;21.99;22.94
123;3.52;3.08;22.9;21.99;23.04
124;3.52;3.08;22.9;21.99;22.94
125;3.52;3.08;22.9;21.99;22.94
126;3.52;3.08;22.9;21.99;23.04
127;3.52;3.08;23.0;21.99;23.04
128;3.519;3.08;22.9;22.09;23.04
129;3.519;3.08;23.0;22.19;22.94
130;3.519;3.08;23.0;22.09;23.35
131;3.519;3.08;23.0;22.09;23.04
132;3.519;3.08;23.0;22.09;23.15
133;3.519;3.08;22.9;22.19;23.15
134;3.519;3.08;22.9;22.29;23.35
135;3.519;3.08;22.9;22.19;22.64
136;3.519;3.08;23.0;22.19;23.04
137;3.519;3.08;23.0;22.19;23.15
138;3.518;3.08;23.0;22.19;23.04
139;3.518;3.08;23.0;22.6;23.15
140;3.518;3.08;23.0;22.29;23.25
141;3.518;3.08;23.0;22.29;23.25
142;3.518;3.08;23.0;22.19;23.15
143;3.518;3.08;23.0;22.29;23.25
144;3.518;3.08;23.0;22.29;23.25
145;3.518;3.08;23.0;22.39;23.25
146;3.518;3.08;22.9;22.29;23.25
147;3.517;3.08;23.0;22.29;22.64
148;3.517;3.08;23.0;22.29;23.35
149;3.517;3.08;22.9;22.29;23.25
150;3.517;3.08;22.9;22.29;23.35
151;3.517;3.08;23.0;22.39;23.35
152;3.517;3.08;23.0;22.39;23.35
153;3.517;3.08;23.0;22.29;23.35
154;3.517;3.08;22.9;22.39;23.15
155;3.517;3.08;23.0;22.39;23.45
156;3.517;3.08;23.0;22.39;23.66
157;3.516;3.08;22.9;22.7;23.76
158;3.516;3.08;23.0;22.39;23.45
159;3.516;3.08;22.9;22.6;23.45
160;3.516;3.08;23.0;22.49;23.35
161;3.516;3.08;23.0;22.49;23.45
162;3.516;3.08;23.0;22.49;23.45
163;3.516;3.08;22.9;22.39;23.45
164;3.516;3.08;23.0;22.49;23.45
165;3.516;3.08;22.9;22.49;23.56
166;3.516;3.08;23.0;22.49;23.45
167;3.516;3.08;23.0;22.49;23.66
168;3.516;3.08;23.0;22.49;23.56
169;3.515;3.08;22.9;22.6;23.35
170;3.515;3.08;23.0;22.49;23.45
171;3.515;3.08;23.0;22.49;23.66
172;3.515;3.08;23.0;22.6;23.66
173;3.515;3.08;23.0;22.6;23.56
174;3.515;3.08;22.9;22.7;23.56
175;3.515;3.08;23.0;22.6;23.56
176;3.515;3.08;23.0;22.7;23.66
177;3.515;3.08;23.0;22.6;23.66
178;3.515;3.08;22.9;22.7;23.76
179;3.514;3.08;23.0;22.7;23.66
180;3.514;3.08;22.9;22.7;23.66
181;3.514;3.08;23.0;22.7;23.76
182;3.514;3.08;23.0;22.6;23.66
183;3.514;3.08;23.0;22.8;23.66
184;3.514;3.08;23.0;22.7;23.76
185;3.514;3.08;23.0;22.7;23.76
186;3.514;3.08;23.0;22.7;23.86
187;3.514;3.08;23.0;22.7;23.76
188;3.514;3.08;23.0;22.8;23.76
189;3.514;3.08;23.0;22.9;23.86
190;3.513;3.08;22.9;22.8;23.56
191;3.513;3.08;23.0;22.7;23.66
192;3.513;3.08;23.0;22.29;23.76
193;3.513;3.08;23.0;22.8;23.76
194;3.513;3.08;23.1;22.8;23.86
195;3.513;3.08;23.0;22.9;24.07
196;3.513;3.08;22.9;22.9;23.76
197;3.513;3.08;23.0;23.0;23.76
198;3.513;3.08;23.0;22.9;23.86
199;3.512;3.08;23.0;22.9;23.86
200;3.512;3.08;23.0;23.0;24.17
201;3.512;3.08;23.0;22.9;23.97
202;3.512;3.08;23.0;22.9;24.07
203;3.512;3.08;22.9;22.9;23.86
204;3.512;3.08;23.0;22.9;23.86
205;3.512;3.08;22.9;23.0;23.97
206;3.512;3.08;23.0;23.0;23.97
207;3.512;3.08;23.0;23.0;24.07
208;3.511;3.08;22.9;23.0;23.86
209;3.511;3.08;23.0;23.0;24.07
210;3.511;3.08;23.0;23.0;24.07
211;3.511;3.08;23.0;23.1;24.07
212;3.511;3.08;22.8;23.0;24.07
213;3.511;3.08;23.0;23.1;24.07
214;3.511;3.08;22.8;23.0;24.07
215;3.511;3.08;23.0;23.0;24.17
216;3.511;3.08;23.0;23.1;24.07
217;3.51;3.08;23.0;23.1;24.07
218;3.51;3.08;23.0;23.1;24.07
219;3.51;3.08;23.0;23.21;24.07
220;3.51;3.08;23.0;23.1;24.17
221;3.51;3.08;23.0;23.1;24.17
222;3.51;3.08;23.0;23.21;24.17
223;3.51;3.08;23.0;23.21;24.17
224;3.51;3.08;23.0;23.21;24.17
225;3.51;3.08;23.0;23.21;24.07
226;3.509;3.08;23.0;23.21;23.45
227;3.509;3.08;23.1;23.31;23.97
228;3.509;3.08;22.9;23.1;24.17
229;3.509;3.08;23.0;23.41;24.28
230;3.509;3.08;23.0;23.21;24.28
231;3.509;3.08;23.0;23.1;24.17
232;3.509;3.08;23.1;23.21;24.17
233;3.509;3.08;23.0;23.31;24.28
234;3.509;3.08;23.1;23.31;24.28
235;3.508;3.08;23.0;23.21;24.28
236;3.508;3.08;23.0;23.31;24.28
237;3.508;3.08;23.0;23.31;24.28
238;3.508;3.08;23.0;23.41;24.38
239;3.508;3.08;23.0;23.41;24.48
