time;voltage;current;ambient_temperature;surface_temperature_plus;surface_temperature_minus
0;0.003;0.0;20.77;19.26;20.02
1;3.66;2.307;20.77;19.37;20.22
2;3.61;2.44;20.77;19.37;20.22
3;3.606;2.44;20.77;19.26;20.12
4;3.605;2.44;20.87;19.26;20.22
5;3.62;2.441;20.77;19.26;20.02
6;3.627;2.441;20.87;19.26;20.12
7;3.641;2.441;20.77;19.37;20.02
8;3.645;2.44;20.87;19.26;20.02
9;3.644;2.44;20.77;19.26;19.92
10;3.647;2.441;20.77;19.37;20.02
11;3.651;2.441;20.87;19.37;19.42
12;3.656;2.441;20.77;19.26;19.92
13;3.657;2.441;20.77;19.37;20.12
14;3.654;2.441;20.77;19.37;20.12
15;3.654;2.441;20.77;19.37;20.12
16;3.653;2.441;20.77;19.37;20.12
17;3.652;2.441;20.77;19.26;19.82
18;3.651;2.441;20.77;19.37;20.12
19;3.652;2.441;20.77;19.37;20.12
20;3.652;2.441;20.77;19.37;20.12
21;3.65;2.441;20.87;19.37;20.12
22;3.653;2.441;20.77;19.37;20.42
23;3.651;2.441;20.77;19.26;20.42
24;3.65;2.441;20.87;19.37;20.32
25;3.648;2.441;20.77;19.37;20.12
26;3.648;2.441;20.77;19.37;20.12
27;3.648;2.441;20.77;19.26;20.12
28;3.651;2.441;20.87;19.37;20.22
29;3.651;2.441;20.87;19.37;20.22
30;3.651;2.441;20.77;19.37;20.12
31;3.65;2.441;20.77;19.47;20.12
32;3.648;2.441;20.77;19.37;20.12
33;3.65;2.441;20.77;19.47;20.12
34;3.649;2.441;20.77;19.37;20.12
35;3.646;2.441;20.77;19.37;20.22
36;3.645;2.441;20.77;19.37;20.12
37;3.646;2.441;20.87;19.37;20.02
38;3.647;2.44;20.77;19.47;20.22
39;3.647;2.441;20.77;19.37;20.22
40;3.647;2.441;20.77;19.47;20.12
41;3.647;2.441;20.77;19.37;20.32
42;3.648;2.441;20.87;19.47;20.22
43;3.648;2.441;20.77;19.47;20.22
44;3.646;2.441;20.77;19.47;20.22
45;3.646;2.441;20.77;19.57;19.03
46;3.647;2.441;20.77;19.47;20.22
47;3.647;2.441;20.77;19.47;20.32
48;3.649;2.441;20.77;19.47;20.22
49;3.649;2.441;20.67;19.37;20.42
50;3.65;2.441;20.87;19.57;20.32
51;3.651;2.441;20.87;19.47;20.22
52;3.65;2.441;20.87;19.57;20.42
53;3.649;2.44;20.87;19.47;20.32
54;3.65;2.441;20.77;19.57;20.22
55;3.65;2.441;20.77;19.57;20.42
56;3.65;2.44;20.87;19.57;20.02
57;3.65;2.44;20.87;19.57;20.32
58;3.65;2.441;20.77;19.57;20.32
59;3.649;2.441;20.87;19.16;20.52
60;3.649;2.441;20.77;19.57;20.52
61;3.65;2.441;20.77;19.57;20.42
62;3.65;2.44;20.77;19.57;20.22
63;3.651;2.441;20.87;19.57;20.42
64;3.65;2.44;20.77;19.57;20.42
65;3.65;2.44;20.77;19.47;20.22
66;3.65;2.44;20.87;19.67;20.42
67;3.65;2.44;20.77;19.47;20.52
68;3.65;2.44;20.77;19.67;20.42
69;3.65;2.44;20.87;19.57;20.52
70;3.65;2.44;20.87;19.67;20.32
71;3.65;2.44;20.87;19.67;20.42
72;3.65;2.44;20.87;19.67;20.52
73;3.65;2.44;20.87;19.57;20.42
74;3.651;2.441;20.87;19.67;20.42
75;3.651;2.441;20.87;19.67;20.32
76;3.65;2.441;20.87;19.77;20.52
77;3.651;2.44;20.87;19.67;20.42
78;3.651;2.44;20.77;19.57;20.52
79;3.65;2.44;20.87;19.67;20.52
80;3.651;2.441;20.87;19.67;20.52
81;3.826;0.0;20.87;19.67;20.42
82;4.08;0.0;20.87;19.77;20.52
83;4.084;0.0;20.87;19.67;20.52
84;4.087;0.0;20.87;19.77;20.52
85;4.089;0.0;20.87;19.77;20.62
86;4.091;0.0;20.87;19.67;20.62
87;4.093;0.0;20.87;19.77;20.52
88;4.094;0.0;20.77;19.77;20.52
89;4.096;0.0;20.87;19.77;20.52
90;4.097;0.0;20.87;19.87;20.62
91;4.098;0.0;20.87;19.77;20.52
92;4.099;0.0;20.77;19.77;20.62
93;4.1;0.0;20.87;19.67;20.52
94;4.101;0.0;20.77;19.77;20.52
95;4.102;0.0;20.87;19.77;20.62
96;4.103;0.0;20.77;19.87;20.62
97;4.104;0.0;20.77;19.77;20.52
98;4.105;0.0;20.77;19.77;20.62
99;4.105;0.0;20.77;19.77;20.52
100;4.106;0.0;20.87;19.67;20.62
101;4.107;0.0;20.77;19.77;20.62
102;4.107;0.0;20.77;19.77;20.42
103;4.108;0.0;20.87;19.77;20.82
104;4.109;0.0;20.77;19.77;20.62
105;4.109;0.0;20.77;19.77;20.42
106;4.11;0.0;20.87;19.97;20.52
107;4.11;0.0;20.77;19.87;20.72
108;4.111;0.0;20.77;19.87;20.62
109;4.111;0.0;20.87;19.87;20.72
110;4.112;0.0;20.77;19.77;20.62
111;4.112;0.0;20.87;19.87;20.42
112;4.113;0.0;20.77;19.87;20.62
113;4.113;0.0;20.77;19.77;20.52
114;4.113;0.0;20.87;19.87;20.62
115;4.114;0.0;20.87;19.87;20.92
116;4.114;0.0;20.77;20.27;20.92
117;4.115;0.0;20.87;19.87;21.32
118;4.115;0.0;20.77;19.87;20.62
119;4.115;0.0;20.87;19.16;20.82
120;4.116;0.0;20.87;19.87;20.72
121;4.116;0.0;20.77;19.87;20.62
122;4.116;0.0;20.77;19.97;20.52
123;4.117;0.0;20.77;19.97;20.62
124;4.117;0.0;20.87;19.87;20.62
125;4.117;0.0;20.87;19.87;20.72
126;4.118;0.0;20.77;20.07;20.92
127;4.118;0.0;20.77;19.87;20.72
128;4.118;0.0;20.87;19.87;20.52
129;4.118;0.0;20.87;19.77;20.72
130;4.119;0.0;20.87;19.87;20.62
131;4.119;0.0;20.77;19.87;20.72
132;4.119;0.0;20.77;19.87;20.72
133;4.119;0.0;20.87;19.87;20.62
134;4.12;0.0;20.87;19.97;20.62
135;4.12;0.0;20.87;19.97;20.62
136;4.12;0.0;20.87;19.87;20.62
137;4.12;0.0;20.87;19.97;20.82
