time;voltage;current;soc
0.0;3.446;0.77;6.944444444444444e-05
1.0;3.455;0.771;0.00013897907647907647
2.0;3.459;0.771;0.0002085137085137085
3.0;3.461;0.771;0.00027804834054834054
4.0;3.462;0.771;0.0003475829725829726
5.0;3.463;0.771;0.0004171176046176046
6.0;3.465;0.771;0.00048665223665223667
7.0;3.465;0.771;0.0005561868686868687
8.0;3.466;0.771;0.0006257215007215007
9.0;3.466;0.771;0.0006952561327561327
10.0;3.466;0.771;0.0007647907647907647
11.0;3.467;0.771;0.0008343253968253967
12.0;3.467;0.771;0.0009038600288600287
13.0;3.468;0.771;0.0009733946608946607
14.0;3.469;0.771;0.0010429292929292927
15.0;3.47;0.771;0.0011124639249639248
16.0;3.47;0.771;0.001181998556998557
17.0;3.47;0.771;0.001251533189033189
18.0;3.47;0.771;0.0013210678210678211
19.0;3.471;0.771;0.0013906024531024532
20.0;3.471;0.771;0.0014601370851370853
21.0;3.471;0.771;0.0015296717171717174
22.0;3.472;0.771;0.0015992063492063495
23.0;3.472;0.771;0.0016687409812409816
24.0;3.472;0.771;0.0017382756132756137
25.0;3.473;0.771;0.0018078102453102458
26.0;3.473;0.771;0.001877344877344878
27.0;3.472;0.771;0.00194687950937951
28.0;3.473;0.771;0.002016414141414142
29.0;3.473;0.771;0.002085948773448774
30.0;3.473;0.771;0.002155483405483406
31.0;3.474;0.771;0.002225018037518038
32.0;3.474;0.771;0.0022945526695526703
33.0;3.474;0.771;0.0023640873015873024
34.0;3.474;0.771;0.0024336219336219345
35.0;3.475;0.771;0.0025031565656565666
36.0;3.475;0.771;0.0025726911976911987
37.0;3.475;0.771;0.002642225829725831
38.0;3.475;0.771;0.002711760461760463
39.0;3.475;0.771;0.002781295093795095
40.0;3.475;0.771;0.002850829725829727
41.0;3.475;0.771;0.002920364357864359
42.0;3.476;0.771;0.0029898989898989913
43.0;3.476;0.771;0.0030594336219336234
44.0;3.476;0.771;0.0031289682539682555
45.0;3.476;0.771;0.0031985028860028876
46.0;3.476;0.771;0.0032680375180375197
47.0;3.477;0.771;0.0033375721500721518
48.0;3.476;0.771;0.003407106782106784
49.0;3.477;0.771;0.003476641414141416
50.0;3.477;0.771;0.003546176046176048
51.0;3.477;0.771;0.00361571067821068
52.0;3.478;0.771;0.0036852453102453123
53.0;3.478;0.771;0.0037547799422799444
54.0;3.477;0.771;0.0038243145743145765
55.0;3.478;0.771;0.0038938492063492086
56.0;3.478;0.771;0.003963383838383841
57.0;3.478;0.771;0.004032918470418472
58.0;3.478;0.771;0.004102453102453104
59.0;3.478;0.771;0.004171987734487736
60.0;3.478;0.771;0.004241522366522367
61.0;3.479;0.771;0.004311056998556999
62.0;3.479;0.771;0.004380591630591631
63.0;3.479;0.771;0.004450126262626262
